RA - Decimal,Dec - Decimal
101.2871553,-16.71611586
95.98795783,-52.69566139
108.15,-27.66666667
219.873833,-60.83222194
213.9153003,19.18240917
219.9020583,-60.83399269
279.2347348,38.78368894
79.17232796,45.99799147
341.866227,58.123245
78.63446708,-8.201638361
114.8254979,5.224987556
80.89416667,-69.75611111
88.792939,7.407064
24.42852283,-57.23675281
210.9558556,-60.37303517
297.6958273,8.868321194
68.98016279,16.50930236
247.3519154,-26.43200261
201.2982474,-11.16131947
260.9237917,30.49738889
116.3289578,28.02619889
344.4126927,-29.62223703
310.3579798,45.28033881
191.9302865,-59.688772
186.6495667,-63.09909167
219.8960963,-60.83752756
152.0929625,11.96720878
104.6564532,-28.97208617
113.6494716,31.88828222
186.6518417,-63.09952222
263.4021672,-37.10382356
81.28276354,6.349703278
187.7914984,-57.11321344
81.57297133,28.60745172
84.05338896,-1.201919139
138.2999061,-69.71720758
332.0582697,-46.96097439
193.50729,55.95982296
85.18969442,-1.942573583
51.08070872,49.86117929
165.9319647,61.75103469
122.3831255,-47.33658633
107.0978502,-26.39319958
264.3297077,-42.997828
276.0429933,-34.38461647
206.8851573,49.31326672
125.6284803,-59.50948419
165.9319526,61.75103334
85.18969643,-1.942572322
89.88217887,44.94743257
113.6494285,31.88827619
306.4119044,-56.73508972
99.42796042,16.39928042
252.1662295,-69.02771183
131.1759441,-54.70881925
95.67493897,-17.95591871
141.8968446,-8.658599528
154.9931436,19.84148867
10.89737875,-17.98660631
31.79335708,23.46241756
125.6284741,-59.5094807
37.95456067,89.26410897
17.43301617,35.62055764
211.6706147,-36.36995475
86.93912017,-9.669604919
2.096916167,29.09043111
283.8163604,-26.29672411
263.7336227,12.56003739
222.6763575,74.15550394
30.97480121,42.32972842
109.3208333,-36.81666667
340.6668761,-46.88457644
47.04221856,40.95564667
177.2649098,14.57205806
190.3793337,-48.95987153
13.15833333,-72.80027778
136.9989911,-43.43259092
200.9814286,54.92536183
305.557091,40.25667916
10.12683778,56.53733116
269.1515412,51.48889561
233.67195,26.71469278
120.8960314,-40.00314781
139.2725286,-59.27523203
2.294521583,59.14978111
220.4823158,-47.38819875
252.5408784,-34.29323159
204.9719073,-53.46639114
218.8767673,-42.15782522
240.0833553,-22.62170642
165.4603189,56.38242609
6.5710475,-42.30598719
154.9931273,19.84148522
265.62198,-39.02998308
14.17721542,60.71674028
326.0464839,9.875008653
221.2467394,27.07422497
83.00166704,0.299095111
345.9435728,28.08278711
257.5945287,-15.72490664
178.4576972,53.69475973
111.0237595,-29.3031055
221.2467631,27.07420722
319.6448847,62.58557447
257.5944336,-15.7251428
140.5284067,-55.01066713
346.1902227,15.20526714
311.5528432,33.97025692
83.85,-5.915
241.3592917,-19.80538889
253,-38.03333333
182.0895735,-50.72242739
45.56988779,4.089738778
168.5270893,20.52371814
208.8849402,-47.2883745
249.2897461,-10.56709152
83.18256716,-17.82228927
183.951545,-17.54193044
285.6530427,-29.88006331
104.0833333,-24.73
253.5354583,-41.82666667
89.93029217,37.21258464
241.3592999,-19.80545278
229.2517243,-9.382914417
236.0669763,6.425628687
188.5968118,-23.3967604
