#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
2934,* 3 Cnc,*,08,00,47.3075512008,+17,18,31.321989432,08,00,47.3090333228,+17,18,31.300212774,07,57,55.4689373827,+17,26,50.108494850,204.5021648509788,+22.8843429361857,-10.504,-3.489,4.06,~,6.904,5.588,~,5.211,~,K3III
2935,HD 65257,*,07,58,31.4709479400,+16,31,07.251463020,07,58,31.4724364703,+16,31,07.229666245,07,55,40.4015317780,+16,39,17.445500116,205.0609635503599,+22.0776474609464,-7.926,-3.358,1.92,~,7.509,6.002,~,5.554,~,K0
2936,* 5 Cnc,*,08,01,30.2883310488,+16,27,19.119723156,08,01,30.2898141559,+16,27,19.097953306,07,58,39.3733256876,+16,35,40.742298079,205.4271996381858,+22.7099267933848,3.990,-5.338,6.59,5.95,5.97,5.99,~,5.985,~,B9.5Vn
2937,* 1 Cnc,PM*,07,56,59.4526407000,+15,47,25.001890224,07,56,59.4541337529,+15,47,24.980081029,07,54,09.1907820855,+15,55,31.325934672,205.6244977144624,+21.4513194281298,-26.731,-42.591,6.98,~,7.06,5.78,~,5.407,~,K3-III
2938,HD 65522,*,07,59,35.0554884768,+13,14,31.798863636,07,59,35.0569833017,+13,14,31.777076013,07,56,47.6342700042,+13,22,46.761641770,208.3966305975569,+20.9938982691279,-19.917,-15.548,9.32,~,7.42,6.07,~,5.639,~,K2
2939,HD 64685,PM*,07,55,31.4332576416,+08,51,46.221276744,07,55,31.4347672250,+08,51,46.199456583,07,52,48.4989928256,+08,59,49.505537915,212.1614080200600,+18.2374172273380,-7.876,-89.446,25.81,~,6.21,5.80,~,5.771,~,F3V
2940,HD 65066,*,07,57,15.8811532968,+08,38,28.383941184,07,57,15.8826616353,+08,38,28.362134135,07,54,33.1938286500,+08,46,35.077163720,212.5688649290861,+18.5283132818631,-1.081,-24.010,9.64,~,7.021,6.023,~,5.780,~,K0III
2941,HD 66011,*,08,01,50.7295370880,+08,54,50.369164956,08,01,50.7310402851,+08,54,50.347398419,07,59,07.8516730548,+09,03,12.043928323,212.8296823116693,+19.6661213019142,1.187,24.740,15.62,~,6.777,6.209,~,6.084,~,G0IV
2942,V* BU CMi,EB*,07,58,05.8973686200,+07,12,48.699552600,07,58,05.8988793529,+07,12,48.677752275,07,55,24.7383500997,+07,20,58.010165012,214.0155455513556,+18.0872367671088,-9.427,-11.603,4.01,~,6.41,6.42,~,6.417,~,A0V
2943,HD 65900,*,08,01,13.8982828104,+04,52,47.522137476,08,01,13.8997970337,+04,52,47.500365005,07,58,35.2526588717,+05,01,07.661324642,216.5751059817280,+17.7390516850988,-31.027,11.865,10.39,~,5.647,5.640,~,5.643,~,A1V
2944,HD 64938,*,07,56,23.9070465360,+04,29,08.029779396,07,56,23.9085641728,+04,29,08.007965665,07,53,45.5301095862,+04,37,10.652929385,216.3714000574442,+16.4869260224347,-7.163,-6.045,4.20,~,7.127,6.162,~,5.909,~,G8/K0III
2945,* G CMi,PM*,08,02,15.9369212008,+02,20,04.458846354,08,02,15.9384416587,+02,20,04.437083968,07,59,39.8709402579,+02,28,23.905872216,219.0674207886010,+16.8003696203472,-28.194,105.650,12.52,6.91,5.63,4.38,3.39,3.972,2.72,K2IIIbFe-0.5:
2946,* 28 Mon,Ro*,08,01,13.3357402,-01,23,33.393493,08,01,13.3372704,-01,23,33.415266,07,58,40.7084662,-01,15,08.692140,222.3558965142,+14.8129986448,67.60,-76.26,7.25,~,6.147,4.680,~,4.040,~,K4III
2947,* 27 Mon,PM*,07,59,44.1530631384,-03,40,46.508411136,07,59,44.1545985686,-03,40,46.530197411,07,57,14.2606720036,-03,32,31.022611953,224.2380170099753,+13.3860718533739,-53.772,-2.687,10.36,~,6.137,4.934,~,4.560,~,K1III
2948,HD 64235,**,07,52,47.8591901,-05,25,41.727515,07,52,47.8607255,-05,25,41.749353,07,50,19.7337842,-05,17,51.471977,224.9442042043,+11.0257733465,-20.30,-28.96,25.18,~,6.161,5.765,~,5.648,~,F5IV
2949,HD 66242,*,08,02,25.9694933592,-06,20,13.692739920,08,02,25.9710370568,-06,20,13.714500634,07,59,58.5448735787,-06,11,47.457059853,226.9535841333734,+12.6689886194950,6.672,-11.784,8.88,~,6.930,6.325,~,6.184,~,F8/G0IV
2950,HD 65938,SB*,08,01,03.4056449784,-06,25,09.161447916,08,01,03.4071879182,-06,25,09.183222049,07,58,36.3595585208,-06,16,46.624289321,226.8533877310177,+12.3312701710269,-74.479,-41.499,14.24,~,7.27,6.45,~,6.237,~,G8IV
2951,HD 65810,*,07,59,52.0475616144,-18,23,57.180883308,07,59,52.0491338877,-18,23,57.202668406,07,57,37.5194543457,-18,15,38.634834483,237.1641641184625,+05.9980073756887,6.455,-43.718,14.60,4.77,4.69,4.61,4.46,4.592,4.40,A1V
2952,* j Pup,*,07,56,51.5389962,-22,52,48.433986,07,56,51.5405727,-22,52,48.455796,07,54,42.5078227,-22,44,43.933956,240.6420703862,+03.0729396275,-30.42,11.49,6.25,~,4.900,4.184,~,3.930,~,F7II
2953,* 12 Pup,Pe*,07,59,05.7150298248,-23,18,37.427521392,07,59,05.7166134588,-23,18,37.449313296,07,56,56.9961180646,-23,10,23.935336188,241.2780374966052,+03.2883224575238,-11.655,2.537,3.74,7.15,6.23,5.11,~,4.784,~,G9IIa
