#,id,typ,icrs_ra_h,icrs_ra_m,icrs_ra_s,icrs_dec_d,icrs_dec_m,icrs_dec_s,fk5_ra_h,fk5_ra_m,fk5_ra_s,fk5_dec_d,fk5_dec_m,fk5_dec_s,fk4_ra_h,fk4_ra_m,fk4_ra_s,fk4_dec_d,fk4_dec_m,fk4_dec_s,gal_ra,gal_dec,pm_ra,pm_dec,plx,Umag,Bmag,Vmag,Rmag,Gmag,Imag,spec.type
1,HD 200253,*,21,01,12.8647634688,+36,01,33.642578532,21,01,12.8666656468,+36,01,33.663043874,20,59,13.3058119725,+35,49,44.626013789,079.5140146728530,-06.7741633566044,-4.819,-5.156,5.39,~,7.000,5.997,~,5.763,~,G5III
2,* 61 Cyg B,Er*,21,06,55.2638444466,+38,44,31.358519864,21,06,55.2658125400,+38,44,31.378786024,21,04,40.7326041742,+38,29,47.772808824,082.3171310715589,-05.8262372280102,4105.976,3155.942,286.01,8.63,7.40,6.03,4.86,5.451,3.55,K7V
3,* tau Cyg,dS*,21,14,47.49252,+38,02,43.1441,21,14,47.49452,+38,02,43.1641,21,12,47.42485,+37,49,52.7294,082.85375885,-07.43227359,196.99,410.28,49.16,4.140,4.120,3.730,3.38,3.570,3.14,F2IV
4,* 61 Cyg A,BY*,21,06,53.9395895022,+38,44,57.902349973,21,06,53.9415576075,+38,44,57.922616927,21,04,39.1711760490,+38,30,09.717572903,082.3197403091576,-05.8181041502094,4164.209,3249.614,285.99,7.50,6.39,5.21,4.19,4.767,3.54,K5V
5,* sig Cyg,sg*,21,17,24.9524404,+39,23,40.852798,21,17,24.9544692,+39,23,40.872665,21,15,26.9593931,+39,11,03.503453,084.1943267398,-06.8723420796,-0.13,-3.58,1.13,3.98,4.37,4.24,4.06,4.125,3.92,A0Ia
6,V* V1334 Cyg,cC*,21,19,22.1791528656,+38,14,14.868825648,21,19,22.1811702101,+38,14,14.888613890,21,17,22.3876117964,+38,01,31.803897375,083.6216473174644,-07.9500630399885,2.293,0.226,1.08,~,6.364,5.882,~,5.725,~,F1II+B7.0V
7,* 74 Cyg,*,21,36,56.9752120080,+40,24,48.692268180,21,36,56.9773534088,+40,24,48.711282453,21,34,56.5190086567,+40,11,17.567781250,087.6175779498485,-08.7608529610766,-1.228,11.238,15.29,~,5.220,5.035,~,4.980,~,A3Vn
8,HD 206749,V*,21,43,06.4713509160,+41,09,17.902709244,21,43,06.4735381536,+41,09,17.921425694,21,41,05.6968741997,+40,55,32.508279853,088.9968727655370,-08.9875219606967,-18.324,-13.938,5.72,~,7.106,5.505,~,4.720,~,M2IIIbCa1
9,HD 207673,*,21,49,40.0940581200,+41,08,55.633325604,21,49,40.0962761506,+41,08,55.651709925,21,47,37.8587980533,+40,54,53.975664604,089.9421170580876,-09.7970842592104,-2.786,-5.960,0.62,6.97,6.90,6.48,~,6.344,~,A2Ib
10,* 77 Cyg,SB*,21,42,22.9588733,+41,04,37.273655,21,42,22.9610553,+41,04,37.292407,21,40,22.0608275,+40,50,53.038278,088.8409358045,-08.9557694766,23.48,-1.02,7.91,~,5.777,5.726,~,5.708,~,A0V+A0V
11,* 76 Cyg,PM*,21,41,34.2554097048,+40,48,18.790889112,21,41,34.2575816088,+40,48,18.809681164,21,39,33.3896237893,+40,34,38.940935789,088.5423034881863,-09.0576418617526,-17.104,-48.370,7.33,~,6.132,6.075,~,6.070,~,A2V
12,HD 211211,PM*,22,14,44.3613363960,+42,57,14.038829388,22,14,44.3637198198,+42,57,14.055808182,22,12,38.0715725436,+42,42,18.934132702,094.8125151542889,-11.2013233158983,49.458,-21.212,12.16,5.680,5.720,5.720,~,5.710,~,A2Vnn
13,* 6 Lac,SB*,22,30,29.2600453,+43,07,24.156435,22,30,29.2625046,+43,07,24.172426,22,28,19.4827486,+42,51,59.639196,097.3638705125,-12.6423173889,-1.98,-5.36,1.90,3.68,4.400,4.511,~,4.421,~,B2IV
14,HD 215664,dS*,22,46,10.2221219664,+44,32,45.797281332,22,46,10.2246982203,+44,32,45.812213551,22,43,56.8091185260,+44,16,55.233734561,100.6035324302678,-12.8269279796889,142.689,32.352,17.86,6.250,6.180,5.840,~,5.759,~,F0III-IV
15,HD 214558,**,22,38,17.3968125552,+45,10,58.557035064,22,38,17.3993773284,+45,10,58.572508343,22,36,07.2712521927,+44,55,21.214769311,099.6724430442053,-11.5911460765156,2.270,-0.535,4.58,7.570,7.130,6.370,~,6.183,~,G6III+kA5.5:hA8.5:mF0
16,* 11 Lac,PM*,22,40,30.8588068,+44,16,34.704241,22,40,30.8613489,+44,16,34.719563,22,38,18.9849173,+44,00,53.430468,099.5635888196,-12.5743578305,93.83,10.71,9.80,7.15,5.79,4.46,3.54,4.002,2.86,K2.5III
17,HD 216608,**,22,53,40.1609179248,+44,44,57.015416328,22,53,40.1635333645,+44,44,57.029817275,22,51,25.5775085219,+44,28,59.290925922,101.9140568412656,-13.2630016684424,-13.846,-24.736,18.15,~,6.075,5.808,~,5.929,~,kA3VmF2III/IVp
18,HD 216608A,SB*,22,53,40.156,+44,44,56.98,22,53,40.159,+44,44,56.99,22,51,25.521,+44,28,58.85,101.914039,-13.263004,-2.9,-16.6,~,~,6.193,5.940,~,~,~,A3Vm
19,HD 217491,*,23,00,34.3932651480,+45,22,29.301315672,23,00,34.3959334195,+45,22,29.315213864,22,58,18.2034928633,+45,06,22.291196784,103.3214424576729,-13.2336425293133,3.443,-5.026,1.78,7.060,6.780,6.490,~,6.436,~,A3V
20,HD 217731,*,23,02,11.3247325080,+44,34,22.292619384,23,02,11.3273756714,+44,34,22.306398092,22,59,54.1738108084,+44,18,14.100961548,103.2386709176712,-14.0811557829811,10.261,-17.689,8.17,~,7.39,6.43,~,6.187,~,K0
21,* 4 And,*,23,07,39.2672021448,+46,23,14.030186820,23,07,39.2699409842,+46,23,14.043556244,23,05,21.7018126159,+46,07,00.662749054,104.9022828728925,-12.8194929939346,-12.734,-30.026,9.16,~,6.702,5.294,~,4.810,~,K5III
22,HD 219668,PM*,23,17,16.6735839312,+45,09,51.000175260,23,17,16.6763086923,+45,09,51.012805727,23,14,55.1616576954,+44,53,30.397952748,106.0148803629476,-14.5922555666702,100.830,-62.171,11.81,~,7.533,6.455,~,6.169,~,K0IV
23,V* ET And,a2*,23,17,56.0115388728,+45,29,20.119357248,23,17,56.0142797392,+45,29,20.131936546,23,15,34.8130553898,+45,12,56.414897560,106.2483473665264,-14.3321813336464,24.492,-11.022,5.54,~,6.447,6.479,~,6.461,~,A0VpSiSr
24,HD 221661,*,23,33,42.9856982760,+45,03,29.143964844,23,33,42.9884760068,+45,03,29.155282270,23,31,17.1824648435,+44,46,53.810605097,108.8056014632583,-15.6712120904732,2.303,9.951,6.16,~,7.252,6.246,~,6.006,~,G8II
25,HD 223229,V*,23,47,33.04940,+46,49,57.2178,23,47,33.05230,+46,49,57.2280,23,45,03.51181,+46,33,17.3079,111.71244290,-14.64271681,1.03,-6.64,3.13,5.25,5.996,6.134,~,~,~,B3IV
26,* psi And,**,23,46,02.0470343064,+46,25,12.986458896,23,46,02.0499136857,+46,25,12.996753911,23,43,32.8735639779,+46,08,33.516891645,111.3428168535947,-14.9745139207107,8.446,-7.143,1.64,~,6.064,4.966,~,4.651,~,G3Ib-II
27,* lam And,RS*,23,37,33.8427800830,+46,27,29.344721109,23,37,33.8456336450,+46,27,29.355722543,23,35,06.5178349136,+46,11,13.742097674,109.9029783742797,-14.5363026402716,159.606,-421.822,38.57,5.54,4.84,3.82,3.04,3.404,2.47,G8IVk
28,HD 222641,V*,23,42,14.6669334792,+44,59,30.173561160,23,42,14.6697355110,+44,59,30.184174036,23,39,46.4936400549,+44,42,52.436160038,110.2843726582085,-16.1740659662372,-19.456,-17.282,4.20,9.670,7.920,6.410,~,5.871,~,K5III
29,HD 224165,*,23,55,33.4754737152,+47,21,20.893767696,23,55,33.4784278522,+47,21,20.903251665,23,53,01.5624643437,+47,04,39.541033702,113.2084612577968,-14.4581991453441,-11.027,-7.272,1.91,~,7.161,5.989,~,5.694,~,G8Ib
30,* 22 And,*,00,10,19.2465938,+46,04,20.180005,00,10,19.2495247,+46,04,20.188200,00,07,42.7422767,+45,47,38.910571,115.5246881366,-16.2072760548,5.49,0.28,2.65,5.69,5.44,5.04,4.62,4.859,4.33,F5II
31,V* CG And,a2*,00,00,43.6344938328,+45,15,12.007059804,00,00,43.6373608857,+45,15,12.016096609,23,58,09.9484737937,+44,58,29.944001214,113.6493581043813,-16.7024536670808,17.745,0.607,5.58,~,6.299,6.347,~,6.333,~,A0IIspSiSrHg
32,* pi. Cas,SB*,00,43,28.0696827024,+47,01,28.364798856,00,43,28.0727304904,+47,01,28.369983938,00,40,41.4005032343,+46,45,05.029224178,121.5202852355130,-15.8253553151544,-24.570,-36.886,18.63,~,5.120,4.949,~,4.918,4.79,A5V
33,HD 5526,*,00,57,39.6449343696,+45,50,21.768358776,00,57,39.6479396646,+45,50,21.772218241,00,54,49.1999315738,+45,34,10.069293190,124.0653139498215,-17.0186727656888,10.921,-6.173,7.89,~,7.118,6.086,~,5.847,~,K2III
34,V* GO And,a2*,00,50,18.2653153128,+45,00,08.135537076,00,50,18.2682690223,+45,00,08.140085791,00,47,30.1160674402,+44,43,48.594261417,122.7214034894995,-17.8690243874449,65.570,4.662,9.62,6.13,6.16,6.15,~,6.126,~,A3VpSiSrCrEuKsn
35,HD 4335,*,00,46,10.8119890296,+44,51,41.399778060,00,46,10.8149300842,+44,51,41.404711189,00,43,24.0814379573,+44,35,18.731380710,121.9523305944468,-18.0002470718134,25.806,-5.780,6.05,5.71,5.954,6.024,~,6.017,~,B9.5IIIp(HgMn)
36,HD 5789,*,01,00,03.5576514672,+44,42,47.691064620,01,00,03.5606023476,+44,42,47.694698460,00,57,13.0792634887,+44,26,39.457977733,124.5434549867411,-18.1315217866703,12.671,-23.581,6.73,~,6.01,6.05,~,6.080,~,B9.5Vnn_lB
37,HD 7647,*,01,17,05.0645837232,+44,54,07.171409160,01,17,05.0675579826,+44,54,07.173431498,01,14,09.7740259118,+44,38,21.204659591,127.6954478901510,-17.7324160710159,12.709,-40.109,4.04,9.680,7.720,6.110,~,5.439,~,K5
38,* ksi And,*,01,22,20.4200755704,+45,31,43.596248844,01,22,20.4230846123,+45,31,43.597771016,01,19,23.1048421587,+45,16,02.843886417,128.5835324567643,-17.0035907890393,31.681,9.024,14.60,~,5.951,4.868,~,4.574,~,K0-IIIb
39,HD 7158,*,01,12,34.0828717560,+45,20,15.105857928,01,12,34.0858652183,+45,20,15.108309213,01,09,39.6573230328,+45,04,19.912347300,126.8201710993665,-17.3746332703832,26.024,20.364,3.52,9.750,7.760,6.110,~,5.338,~,M1III
40,HD 8671,PM*,01,26,18.6862929120,+43,27,27.869935680,01,26,18.6891999925,+43,27,27.871079408,01,23,21.6339826224,+43,11,56.681918903,129.6128695656687,-18.9611559349852,108.632,-59.657,23.44,~,6.464,5.978,~,5.855,~,F7V
41,* ome And,**,01,27,39.3807155195,+45,24,24.065127426,01,27,39.3837202466,+45,24,24.066142902,01,24,39.1644248595,+45,08,57.489355849,129.5664655391674,-16.9979814417302,357.564,-110.039,34.73,5.25,5.25,4.83,4.42,4.694,4.19,F4IV
42,* chi And,SB*,01,39,20.9885732088,+44,23,10.229915472,01,39,20.9915277306,+44,23,10.229814844,01,36,20.3391363314,+44,07,57.709141980,131.8858981141649,-17.6509881617858,-13.395,8.635,12.36,~,5.886,5.008,~,4.772,~,G8III
43,HD 10204,PM*,01,40,39.6574577184,+43,17,51.612331380,01,40,39.6603589007,+43,17,51.612105570,01,37,39.1606907379,+43,02,43.938991345,132.3555377945447,-18.6715779308015,101.517,-40.752,11.76,~,5.845,5.629,~,5.597,~,A7III+
44,HD 10307,SB*,01,41,47.1268541099,+42,36,48.221567818,01,41,47.1297226833,+42,36,48.221234652,01,38,43.7197839826,+42,21,48.301956067,132.7153946631206,-19.2998883860968,824.761,-156.423,68.02,5.69,5.58,4.96,4.43,4.800,4.10,G1V
45,* gam02 And,**,02,03,54.7580291496,+42,19,51.281119488,02,03,54.7608763666,+42,19,51.278678739,02,00,50.0876993352,+42,05,31.112372381,136.9667244042748,-18.5571582157933,16.645,-47.746,12.07,~,5.02,5.82,~,4.863,~,B8V+A0V
46,* gam01 And,SB*,02,03,53.95229,+42,19,47.0223,02,03,53.95514,+42,19,47.0199,02,00,49.17094,+42,05,26.8972,136.96458468,-18.55901423,42.32,-49.30,8.30,4.22,3.30,2.10,1.16,~,0.47,K2+IIb
47,HD 14622,PM*,02,22,50.3034199104,+41,23,46.657521456,02,22,50.3062083014,+41,23,46.653295346,02,19,42.9734283473,+41,10,13.993744696,140.7976985463551,-18.2829369737077,-75.147,-98.755,20.69,~,6.063,5.795,~,5.743,~,F0III-IV
48,HD 16004,*,02,35,27.9012972072,+39,39,51.766294680,02,35,27.9039960214,+39,39,51.760892712,02,32,19.7477964417,+39,26,48.974424362,143.8402253370897,-18.9466367410605,16.665,-34.050,5.66,~,6.258,6.345,~,6.335,~,B9.5IIIpHg?
49,HD 16350,*,02,38,27.9557175768,+38,05,20.910306300,02,38,27.9583484599,+38,05,20.904627151,02,35,21.1826055396,+37,52,25.223460320,145.1042276355980,-20.1313346535434,8.773,-11.029,4.92,~,6.256,6.287,~,6.282,~,B9.5V
50,* 20 Per,**,02,53,42.61284,+38,20,14.9532,02,53,42.61546,+38,20,14.9461,02,50,32.74290,+38,08,06.4169,147.81541085,-18.55542748,46.79,-78.90,14.15,~,5.742,5.343,~,5.151,~,F6V
51,HD 17484,SB*,02,49,26.9113845024,+37,19,35.078867148,02,49,26.9139703581,+37,19,35.072182241,02,46,19.3003477603,+37,07,10.216297220,147.5347254114556,-19.8438578326696,-18.695,-2.990,8.59,~,6.870,6.448,~,6.350,~,F6III-IV
52,HD 17605,PM*,02,50,35.2911753648,+36,56,53.978327160,02,50,35.2937451175,+36,56,53.971538725,02,47,27.9179452745,+36,44,38.773436430,147.9366145533739,-20.0715376250429,-9.852,-129.245,16.30,7.190,7.050,6.440,~,6.294,~,G0
53,HD 16327,PM*,02,38,17.8307695464,+37,43,36.168026340,02,38,17.8333863295,+37,43,36.162362752,02,35,11.7078963723,+37,30,41.729294452,145.2371069722046,-20.4732866341260,-37.345,-44.962,12.58,~,6.660,6.191,~,6.083,~,F6III
54,HD 200465,*,21,02,20.9580956976,+39,30,32.518475280,21,02,20.9600537162,+39,30,32.538902017,21,00,25.7537286810,+39,18,39.643092250,082.3005091678127,-04.6540140793993,1.930,0.075,1.56,~,7.93,6.44,6.92,5.934,~,K3III
55,HD 200577,*,21,03,04.8395367888,+38,39,26.689837392,21,03,04.8414853767,+38,39,26.710238986,21,01,08.2957519866,+38,27,31.909309552,081.7528019461432,-05.3231070381515,17.193,-6.027,4.45,~,7.105,6.097,~,5.850,~,G8III
56,HD 203096,*,21,18,55.3293620952,+41,02,25.868960628,21,18,55.3314285987,+41,02,25.888767070,21,16,59.2140621898,+40,49,44.221876705,085.5851673483285,-05.9336650316000,-5.116,-4.318,1.83,6.620,6.410,6.150,~,6.075,~,A5IV
57,HD 202862,*,21,17,23.1826057824,+42,41,00.859147440,21,17,23.1846961817,+42,41,00.879015770,21,15,29.5488273968,+42,28,23.260883573,086.5676767341224,-04.5830368891803,9.020,1.227,3.54,~,6.056,6.159,~,6.150,~,B7V
58,HD 202720,*,21,16,29.6185619160,+42,15,06.444518184,21,16,29.6206391585,+42,15,06.464422079,21,14,35.6021383265,+42,02,32.205362821,086.1413964426280,-04.7647811831948,-0.217,-14.603,4.17,8.770,7.490,6.210,~,5.857,~,K2
59,* 75 Cyg,**,21,40,11.1100359936,+43,16,25.815895860,21,40,11.1122591640,+43,16,25.834755354,21,38,13.1682095315,+43,02,46.204976914,090.0041365548992,-07.0413539036477,60.900,15.491,7.34,~,6.682,5.086,~,4.359,~,M1IIIab
60,HD 205939,*,21,37,27.8740204632,+44,41,47.574969360,21,37,27.8762643041,+44,41,47.593959251,21,35,32.6897880773,+44,28,16.942557555,090.5922392965387,-05.6550159486091,-1.424,-27.010,5.52,6.580,6.400,6.200,~,6.159,~,A7III
61,HD 209932,*,22,05,50.4494858112,+45,06,45.003104748,22,05,50.4518915343,+45,06,45.020606568,22,03,48.7758126543,+44,52,07.069250226,094.7745973301558,-08.5152768986391,14.186,-4.599,5.15,~,6.458,6.494,~,6.494,~,A0V
62,HD 209945,V*,22,06,01.9526899392,+45,00,51.650286984,22,06,01.9550936319,+45,00,51.667777810,22,04,00.2288316870,+44,46,13.886208304,094.7430652736626,-08.6143122591496,-8.826,-16.090,4.75,~,6.649,5.070,~,4.442,~,K5III
63,V* V1942 Cyg,a2*,22,02,56.66068,+44,38,59.5009,22,02,56.66305,+44,38,59.5186,22,00,55.36183,+44,24,29.1459,094.07886568,-08.57803472,-20.85,-33.02,6.62,~,5.565,5.596,~,~,~,A0IV
64,V* HT Lac,LP*,22,05,16.4991120456,+46,44,41.407404108,22,05,16.5015662816,+46,44,41.424938302,22,03,17.0714560562,+46,30,05.435456751,095.6750648569594,-07.1447142072917,-29.684,-20.706,3.53,9.50,7.74,6.13,4.47,4.979,2.91,M4III
65,HD 211096,PM*,22,13,49.2402464184,+45,26,26.201813100,22,13,49.2427029764,+45,26,26.218847090,22,11,45.5761248790,+45,11,31.600883185,096.1217741923562,-09.0682591011881,73.746,4.159,12.90,5.530,5.530,5.530,~,5.527,~,A0III
66,V* AR Lac,RS*,22,08,40.8182089680,+45,44,32.107863120,22,08,40.8206489976,+45,44,32.125200874,22,06,39.4296829687,+45,29,45.677892502,095.5569998967437,-08.3014772048019,-52.310,46.931,23.52,7.09,6.83,6.11,~,5.911,~,K0IVe+G5IV
67,HD 209993,*,22,06,12.2660311968,+45,14,55.273436700,22,06,12.2684429750,+45,14,55.290917660,22,04,10.6067367350,+45,00,16.665604096,094.9085482987181,-08.4438659655400,23.771,-6.390,10.72,~,6.248,6.181,~,6.173,~,A3V
68,* 2 Lac,SB*,22,21,01.5472649,+46,32,11.646085,22,21,01.5497949,+46,32,11.662679,22,18,57.3280809,+46,17,03.429753,097.7929718912,-08.8630239617,22.35,1.45,5.88,3.95,4.431,4.540,~,4.477,~,B6V
69,* 5 Lac,s*r,22,29,31.8225058,+47,42,24.792707,22,29,31.8251222,+47,42,24.808760,22,27,26.4748274,+47,27,01.748383,099.6633359522,-08.6508301273,-0.37,-3.33,1.98,7.15,6.05,4.37,2.98,3.460,1.91,K9Ia+B2V
70,* 7 And,PM*,23,12,33.0037993,+49,24,22.345507,23,12,33.0066956,+49,24,22.358503,23,10,15.1028775,+49,07,57.990316,106.8723438651,-10.3571820495,90.23,95.56,40.67,4.85,4.81,4.52,4.23,4.404,4.07,F1V
71,* 8 And,V*,23,17,44.6472657024,+49,00,55.082930904,23,17,44.6501654517,+49,00,55.095524994,23,15,25.1184279615,+48,44,30.675806371,107.5275929970367,-11.0338038129899,33.779,6.213,5.70,8.50,6.53,4.86,3.40,3.934,2.14,M2.5IIIBa0.5
72,* 11 And,PM*,23,19,29.8077401832,+48,37,31.163086704,23,19,29.8106284522,+48,37,31.175543580,23,17,09.5767374452,+48,21,03.026552769,107.6601367378991,-11.5011539202825,22.130,52.573,11.38,~,6.453,5.440,~,5.163,~,K0III
73,HD 221246,*,23,30,07.4135665968,+49,07,59.322247896,23,30,07.4165224440,+49,07,59.333857514,23,27,43.8869477605,+48,51,26.333173955,109.5139004569710,-11.6084938934673,28.575,3.237,3.23,~,7.627,6.152,~,5.690,~,K3III
74,NGC 7686,OpC,23,29,41.3,+49,10,12,23,29,41.3,+49,10,12,23,27,18.1,+48,53,39,109.4568,-11.5510,-1.15,-1.21,~,~,6.79,5.6,~,~,~,~
75,* 18 And,*,23,39,08.3316539712,+50,28,18.237535608,23,39,08.3347149120,+50,28,18.248406808,23,36,42.4027715437,+50,11,40.968357385,111.3362666619996,-10.7651109750920,-17.057,-2.041,7.79,~,5.24,5.35,~,5.331,~,B9Ve
76,HD 222570,*,23,41,26.7851881704,+49,30,44.699747112,23,41,26.7882062905,+49,30,44.710426556,23,38,59.8037011219,+49,14,07.308666666,111.4284545612965,-11.7896339682191,-14.218,-18.002,4.84,6.590,6.430,6.260,~,6.234,~,A4V
77,HD 743,PM*,00,11,59.0850984672,+48,09,08.631507168,00,11,59.0881398330,+48,09,08.639554562,00,09,21.5642839407,+47,52,27.164225334,116.1619511894055,-14.2000623641318,60.634,10.630,5.22,~,7.635,6.162,~,5.664,~,K4III
78,HD 224870,*,00,01,19.2513981456,+49,58,53.604988572,00,01,19.2545089770,+49,58,53.613973728,23,58,45.4054692622,+49,42,12.162448577,114.7299426864129,-12.0903728657111,13.160,-11.451,4.12,~,7.185,6.217,~,5.971,~,G7II-III
79,HD 1279,*,00,17,09.0440331312,+47,56,50.661966660,00,17,09.0470766586,+47,56,50.669553377,00,14,30.1753417340,+47,40,11.211567259,117.0123079454124,-14.5298603852452,4.111,-3.659,2.85,5.36,5.764,5.852,~,5.835,~,B8III
80,HD 1601,*,00,20,30.9290699232,+48,58,07.080395628,00,20,30.9321772751,+48,58,07.087680205,00,17,50.7397103983,+48,41,28.728837909,117.7194591985364,-13.5899024887083,8.066,-3.165,3.07,7.230,7.000,6.470,~,6.335,~,G0
81,HD 3574,*,00,39,09.8940906336,+49,21,16.517849688,00,39,09.8972603348,+49,21,16.523432967,00,36,23.3891020389,+49,04,48.232045435,120.8773650274288,-13.4681930530503,7.169,-2.908,2.11,~,7.072,5.419,~,4.815,~,K5III
82,* omi Cas,Be*,00,44,43.5186650,+48,17,03.713573,00,44,43.5217836,+48,17,03.718641,00,41,55.6486877,+48,00,39.907274,121.7781965593,-14.5723449631,18.84,-7.18,4.64,3.91,4.44,4.50,4.45,4.357,4.50,B5IIIe
83,* 68 Cas,*,00,44,26.1915514056,+47,51,50.342883408,00,44,26.1946461951,+47,51,50.347978589,00,41,38.9079629234,+47,35,25.522453060,121.7163533329097,-14.9912379658647,-39.855,8.455,4.45,~,5.520,5.648,~,5.636,~,B5V
84,HD 5273,V*,00,55,05.2043429616,+48,40,42.681101412,00,55,05.2074994850,+48,40,42.685202537,00,52,14.0161524277,+48,24,28.539598940,123.5531789876278,-14.1888235760723,-23.134,-10.629,3.30,10.000,8.010,6.310,~,5.375,~,~
85,* phi And,Be*,01,09,30.12562,+47,14,30.4594,01,09,30.12871,+47,14,30.4622,01,06,35.30862,+46,58,32.9033,126.11223405,-15.51837525,4.05,-12.43,4.55,3.84,4.18,4.25,4.22,~,4.27,B5IIIe
86,* phi And A,*,01,09,30.122064,+47,14,30.46772,01,09,30.125156,+47,14,30.47046,01,06,35.324891,+46,58,32.83043,126.112223474,-15.518373686,0.0,-10.8,~,~,4.54,4.294,~,~,~,~
87,* phi And B,*,01,09,30.152592,+47,14,30.22678,01,09,30.155684,+47,14,30.22952,01,06,35.355316,+46,58,32.59014,126.112317912,-15.518434156,0.0,-10.8,~,~,5.55,5.62,~,~,~,~
88,* 49 And,*,01,30,06.1015103472,+47,00,26.181123984,01,30,06.1046007803,+47,00,26.181906181,01,27,05.4545123391,+46,45,00.238170745,129.7507889242485,-15.3519284481693,-0.950,-42.638,9.79,~,6.261,5.261,~,5.011,~,G9III
89,HD 7758,*,01,18,10.1484160728,+47,25,10.941500244,01,18,10.1515241472,+47,25,10.943419435,01,15,12.5869958963,+47,09,24.694426783,127.6123712955628,-15.2089672406581,7.753,-3.869,2.15,~,7.602,6.246,~,5.871,~,K0
90,V* GY And,a2*,01,38,31.8255225672,+45,23,58.935650100,01,38,31.8285285271,+45,23,58.935627704,01,35,30.4460947856,+45,08,45.432151952,131.5334774223682,-16.6840740767740,-17.292,-1.386,7.11,~,6.343,6.380,~,6.365,~,A2:VpSiSrCrEu
91,HD 10597,*,01,44,26.5266628800,+46,08,22.892710560,01,44,26.5297070187,+46,08,22.892123799,01,41,22.7623047994,+45,53,21.748265415,132.4305169719300,-15.7522003765358,-7.555,-30.851,5.44,9.440,7.740,6.310,~,5.838,~,K5III
92,HD 10874,PM*,01,47,48.0144682200,+46,13,47.095939740,01,47,48.0175163788,+46,13,47.095032541,01,44,43.1395104255,+45,58,53.644485027,132.9991115140435,-15.5373587558448,14.120,-55.690,18.50,~,6.761,6.317,~,6.225,~,F6V
93,HD 10486,PM*,01,43,16.5039312816,+45,19,21.537082092,01,43,16.5069329202,+45,19,21.536606725,01,40,13.1975316224,+45,04,16.365338657,132.4019439040651,-16.5937939687493,139.409,5.479,18.09,8.31,7.36,6.32,5.58,6.089,5.09,K2IV
94,HD 13013,*,02,08,33.5596902840,+44,27,33.946698168,02,08,33.5626360149,+44,27,33.943817062,02,05,25.3864318347,+44,13,24.198325048,137.1438452837948,-16.2736868725399,14.425,-46.973,7.10,7.970,7.340,6.380,~,6.134,~,G8III-IV
95,* b And,SB*,02,13,13.3221992348,+44,13,53.927938133,02,13,13.3251296289,+44,13,53.924616343,02,10,04.4723505942,+43,59,53.445463952,138.0426814596311,-16.2272967072718,-20.90,-14.46,5.26,~,6.320,4.826,~,4.277,~,K4-III:
96,* 12 Per,SB*,02,42,14.9145674304,+40,11,38.221732500,02,42,14.9172789367,+40,11,38.215705356,02,39,04.9730834825,+39,59,01.794526448,144.8453230311868,-17.9159168407843,-18.669,-186.190,41.80,5.65,5.51,4.92,4.42,4.722,4.12,F9V
97,HD 18339,*,02,58,02.3274942936,+38,36,53.734943700,02,58,02.3301163033,+38,36,53.727482700,02,54,51.5951040249,+38,24,55.124724503,148.4544493877140,-17.9025407262934,-5.960,-16.821,4.03,~,7.455,6.028,~,5.579,~,K3III
98,HD 18552,Be*,03,00,11.8861086336,+38,07,54.197462964,03,00,11.8887080993,+38,07,54.189808485,02,57,01.3260556520,+37,56,02.460222504,149.0925762256158,-18.1130328133684,20.165,-22.218,4.46,5.67,6.05,6.11,~,6.084,~,B7IVe
99,* pi. Per,*,02,58,45.6701619312,+39,39,45.815580720,02,58,45.6728243274,+39,39,45.808054919,02,55,33.2712337360,+39,27,50.601079855,148.0435210839970,-16.9208244039938,25.048,-41.522,10.44,4.88,4.76,4.70,4.60,4.648,4.56,A2Vn
100,* rho Per,LP*,03,05,10.59385,+38,50,24.9943,03,05,10.59647,+38,50,24.9862,03,01,57.80130,+38,38,52.8287,149.59813439,-17.00902942,129.22,-105.70,10.60,6.83,5.04,3.39,1.59,~,-0.03,M4+IIIa
101,HD 196642,*,20,37,23.5840930440,+38,19,43.199603724,20,37,23.5859138095,+38,19,43.220762216,20,35,30.6018362818,+38,09,13.199071376,078.3119108550088,-01.6394253866437,13.164,-43.609,9.25,~,7.220,6.202,~,5.946,~,K0III
102,HD 197226,SB*,20,41,00.3641113,+39,04,56.363555,20,41,00.3659581,+39,04,56.384623,20,39,07.9828054,+38,54,11.982210,079.3392942063,-01.7405014065,5.75,0.14,3.24,5.93,6.384,6.497,~,6.478,~,B6III
103,HD 197018,a2*,20,39,33.31607,+40,34,46.7780,20,39,33.31793,+40,34,46.7991,20,37,43.42247,+40,24,07.1154,080.35475789,-00.60521105,6.28,1.86,3.53,~,5.964,6.095,~,~,~,B8III
104,HD 200030,*,20,59,24.6193752144,+42,19,28.069321296,20,59,24.6213623347,+42,19,28.089846973,20,57,33.9242758418,+42,07,43.903503274,084.0594338587252,-02.3840001874401,16.414,5.516,3.88,6.1,6.377,6.465,~,6.452,~,B9
105,HD 199892,SB*,20,58,30.9539504088,+41,56,23.731780380,20,58,30.9559265572,+41,56,23.752335498,20,56,39.8660404892,+41,44,42.627671915,083.6597333124975,-02.5100885557707,11.884,0.228,6.02,~,6.076,6.156,~,6.148,~,B9III:
