RA - Decimal,Dec - Decimal,Prop.motion RA,Prop.motion Dec,Mag V ,Red,Green,Blue,identifier             
141.8968445833,-8.6585995278,-15.2300000000,34.3700000000,1.97,1.0000,0.7872,0.5797,* alf Hya
154.9931435917,19.8414886667,310.8000000000,-152.9000000000,1.98,1.0000,0.8221,0.6541,* gam01 Leo
10.8973787500,-17.9866063056,232.5500000000,31.9900000000,2.01,0.8000,0.8000,0.8000,* bet Cet
31.7933570833,23.4624175556,188.5500000000,-148.0800000000,2.01,1.0000,0.7992,0.6045,* alf Ari
125.6284741000,-59.5094807000,-25.3000000000,22.7000000000,2.01,1.0000,0.7872,0.5797,* eps Car A
37.9545606667,89.2641089722,44.4800000000,-11.8500000000,2.02,1.0000,0.9276,0.9168,* alf UMi
17.4330161667,35.6205576389,175.9000000000,-112.2000000000,2.05,1.0000,0.6789,0.3823,* bet And
211.6706146667,-36.3699547500,-520.5300000000,-518.0600000000,2.05,1.0000,0.8330,0.6787,* tet Cen
86.9391201683,-9.6696049186,1.4600000000,-1.2800000000,2.06,0.4509,0.5617,1.0000,* kap Ori
2.0969161667,29.0904311111,137.4600000000,-163.4400000000,2.06,0.5496,0.6441,1.0000,* alf And
283.8163604167,-26.2967241111,15.1400000000,-53.4300000000,2.067,0.4799,0.5868,1.0000,* sig Sgr
263.7336227083,12.5600373889,108.0700000000,-221.5700000000,2.07,0.7260,0.7762,1.0000,* alf Oph
222.6763575000,74.1555039444,-32.6100000000,11.4200000000,2.08,1.0000,0.7750,0.5548,* bet UMi
30.9748012083,42.3297284167,42.3200000000,-49.3000000000,2.1,1.0000,0.7992,0.6045,* gam01 And
109.3620833333,-37.0438888889,-9.9750000000,6.1570000000,2.1,0.8000,0.8000,0.8000,Cl Collinder 135
340.6668761250,-46.8845764444,135.1600000000,-4.3800000000,2.11,1.0000,0.6318,0.3112,* bet Gru
47.0422185563,40.9556466703,2.9900000000,-1.6600000000,2.12,0.5496,0.6441,1.0000,* bet Per
177.2649097500,14.5720580556,-497.6800000000,-114.6700000000,2.13,0.6703,0.7362,1.0000,* bet Leo
190.3793336667,-48.9598715278,-185.7200000000,5.7900000000,2.17,0.6324,0.7081,1.0000,* gam Cen
13.1583333333,-72.8002777778,0.7720000000,-1.1170000000,2.2,0.8000,0.8000,0.8000,NAME SMC
136.9989911250,-43.4325909167,-24.0100000000,13.5200000000,2.21,1.0000,0.7750,0.5548,* lam Vel
200.9814286375,54.9253618278,121.2000000000,-22.0000000000,2.22,0.6324,0.7081,1.0000,* zet01 UMa
305.5570909821,40.2566791564,2.3900000000,-0.9100000000,2.23,1.0000,0.9276,0.9168,* gam Cyg
10.1268377829,56.5373311583,50.8800000000,-32.1300000000,2.23,1.0000,0.8330,0.6787,* alf Cas
269.1515411667,51.4888956111,-8.4800000000,-22.7900000000,2.23,1.0000,0.7360,0.4803,* gam Dra
233.6719500000,26.7146927778,120.2700000000,-89.5800000000,2.24,0.6324,0.7081,1.0000,* alf CrB
120.8960314167,-40.0031478056,-29.7100000000,16.6800000000,2.25,0.8000,0.8000,0.8000,* zet Pup
139.2725285717,-59.2752320292,-18.8600000000,11.9800000000,2.26,0.7652,0.8035,1.0000,* iot Car
2.2945215833,59.1497811111,523.5000000000,-179.7700000000,2.27,0.8986,0.8925,1.0000,* bet Cas
220.4823157775,-47.3881987461,-20.9400000000,-23.6700000000,2.286,0.4701,0.5784,1.0000,* alf Lup
252.5408783863,-34.2932315931,-614.8500000000,-255.9800000000,2.29,1.0000,0.8221,0.6541,* eps Sco
204.9719072500,-53.4663911389,-15.3000000000,-11.7200000000,2.3,0.4701,0.5784,1.0000,* eps Cen
218.8767673375,-42.1578252172,-34.7300000000,-32.7200000000,2.31,0.4799,0.5868,1.0000,* eta Cen
240.0833553333,-22.6217064167,-10.2100000000,-35.4100000000,2.32,0.4509,0.5617,1.0000,* del Sco
165.4603189042,56.3824260867,81.4300000000,33.4900000000,2.37,0.6324,0.7081,1.0000,* bet UMa
154.9931273333,19.8414852222,304.3000000000,-154.2800000000,2.37,1.0000,0.8221,0.6541,* gam Leo
6.5710475000,-42.3059871944,233.0500000000,-356.3000000000,2.38,1.0000,0.8330,0.6787,* alf Phe
265.6219800000,-39.0299830833,-6.0500000000,-25.5400000000,2.386,0.4701,0.5784,1.0000,* kap Sco
14.1772154167,60.7167402778,25.6500000000,-3.8200000000,2.39,0.4509,0.5617,1.0000,* gam Cas
326.0464839142,9.8750086533,26.9200000000,0.4400000000,2.39,1.0000,0.7992,0.6045,* eps Peg
221.2467394167,27.0742249722,-50.9500000000,21.0700000000,2.39,0.6109,0.6919,1.0000,* eps Boo
83.0016670417,0.2990951111,0.6400000000,-0.6900000000,2.41,0.4509,0.5617,1.0000,* del Ori
345.9435727500,28.0827871111,187.6500000000,136.9300000000,2.42,1.0000,0.6480,0.3346,* bet Peg
257.5945287083,-15.7249066389,40.1300000000,99.1700000000,2.42,0.6504,0.7215,1.0000,* eta Oph
178.4576971525,53.6947597292,107.6800000000,11.0100000000,2.44,0.6109,0.6919,1.0000,* gam UMa
111.0237595000,-29.3031055000,-4.1400000000,5.8100000000,2.45,0.5229,0.6225,1.0000,* eta CMa
221.2467631083,27.0742072194,-42.2000000000,13.6000000000,2.45,1.0000,0.8330,0.6787,* eps Boo A
319.6448847083,62.5855744722,150.5500000000,49.0900000000,2.46,0.8244,0.8437,1.0000,* alf Cep
257.5944336000,-15.7251428000,~,~,2.463,0.6504,0.7215,1.0000,* eta Oph A
140.5284067083,-55.0106671342,-11.4000000000,11.5200000000,2.473,0.4799,0.5868,1.0000,* kap Vel
346.1902227083,15.2052671389,60.4000000000,-41.3000000000,2.48,0.5750,0.6642,1.0000,* alf Peg
311.5528431704,33.9702569239,355.6600000000,330.6000000000,2.48,1.0000,0.8330,0.6787,* eps Cyg
83.8500000000,-5.9150000000,0.4600000000,-1.0100000000,2.5,0.8000,0.8000,0.8000,NGC 1980
241.3592916667,-19.8053888889,~,~,2.5,0.4701,0.5784,1.0000,* bet Sco
253.0000000000,-38.0333333333,~,~,2.51,0.8000,0.8000,0.8000,[SC96] Mis 162
182.0895734888,-50.7224273928,-49.9400000000,-7.1900000000,2.52,0.4799,0.5868,1.0000,* del Cen
45.5698877917,4.0897387778,-10.4100000000,-76.8500000000,2.53,1.0000,0.6480,0.3346,* alf Cet
168.5270892500,20.5237181389,143.4200000000,-129.8800000000,2.53,0.7260,0.7762,1.0000,* del Leo
208.8849402083,-47.2883745000,-57.3700000000,-44.5500000000,2.55,0.4799,0.5868,1.0000,* zet Cen
249.2897460604,-10.5670915197,15.2600000000,24.7900000000,2.56,0.8000,0.8000,0.8000,* zet Oph
83.1825671617,-17.8222892722,3.5600000000,1.1800000000,2.57,0.8668,0.8718,1.0000,* alf Lep
183.9515450417,-17.5419304444,-158.6100000000,21.8600000000,2.58,0.5496,0.6441,1.0000,* gam Crv
285.6530426667,-29.8800633056,10.7900000000,21.1100000000,2.585,0.6504,0.7215,1.0000,* zet Sgr
104.0833333333,-24.7300000000,-5.1100000000,4.5800000000,2.6,0.8000,0.8000,0.8000,Cl Collinder 121
253.5354583333,-41.8266666667,-0.5290000000,-2.1770000000,2.6,0.8000,0.8000,0.8000,NGC 6231
89.9302921667,37.2125846389,43.6300000000,-73.7900000000,2.62,0.6109,0.6919,1.0000,* tet Aur
241.3592999275,-19.8054527828,-5.2000000000,-24.0400000000,2.62,0.4701,0.5784,1.0000,* bet01 Sco
229.2517242500,-9.3829144167,-98.1000000000,-19.6500000000,2.62,0.5496,0.6441,1.0000,* bet Lib
236.0669763163,6.4256286867,133.8400000000,44.8100000000,2.63,1.0000,0.7992,0.6045,* alf Ser
188.5968118304,-23.3967604036,1.1100000000,-56.5600000000,2.64,1.0000,0.8740,0.7760,* bet Crv
189.2959078692,-69.1355647886,-40.2000000000,-12.8000000000,2.649,0.4799,0.5868,1.0000,* alf Mus
84.9122542996,-34.0741097197,1.5800000000,-24.8200000000,2.65,0.5750,0.6642,1.0000,* alf Col
28.6600457917,20.8080314722,98.7400000000,-110.4100000000,2.65,0.8000,0.8000,0.8000,* bet Ari
275.2485147600,-29.8281016442,32.5400000000,-25.5700000000,2.668,1.0000,0.7992,0.6045,* del Sgr
