C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
15  ;HIP 97650                          * 51 Aql                           ;*  ;19 50 46.7838182160 -10 45 48.633459876;19 50 46.7853297844 -10 45 48.611610375;19 48 01.7629872638 -10 53 30.762218245;029.8270610246364 -18.0004515326334; -32.904 32.353     ;36.4182   ;v    13.10    ;13.10       ;0.000044    ;13.10       ;     ~   ;5.77     ;5.39     ;     ~   ;     ~   ;F5VFe-1CH-0.7        ;  85 ;   0
16  ;HIP 110256                         * eps Oct                          ;LP*;22 20 01.6796965 -80 26 23.094730      ;22 20 01.6756057 -80 26 23.078074      ;22 14 32.4465614 -80 41 24.453166      ;310.0352719899 -34.4970174688      ;   56.81 -43.47     ;11.22     ;v    11.70    ;11.70       ;0.000039    ;11.70       ;     ~   ;6.433    ;5.177    ;     ~   ;     ~   ;M5III                ;  61 ;   0
17  ;HD 17326A                                                             ;PM*;02 43 26.614915 -66 42 51.22588        ;02 43 26.613188 -66 42 51.23202        ;02 42 33.832907 -66 55 27.61132        ;287.187679140 -46.843057410        ;    107.0 -64.0     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.89     ;6.46     ;     ~   ;     ~   ;~                    ;   1 ;   0
18  ;HIP 4317                           HD 5316                            ;V* ;00 55 14.6732817072 +24 33 25.430887548;00 55 14.6754632156 +24 33 25.434973872;00 52 33.7547758403 +24 17 11.575600133;124.0350071041606 -38.3065302317772; 24.736 -13.876     ;4.3336    ;v   -11.60    ;-11.60      ;-0.000039   ;-11.60      ;     ~   ;7.770    ;6.240    ;     ~   ;     ~   ;M4III                ;  49 ;   0
19  ;HIP 74707                          HD 135345                          ;** ;15 16 04.0190393016 -41 29 28.196512944;15 16 04.0217405647 -41 29 28.187458535;15 12 46.0781053114 -41 18 25.137885553;329.9847703681077 +13.6602649331176;  -5.409 -2.830     ;0.2968    ;v   -20.86    ;-20.86      ;-0.000070   ;-20.86      ;     ~   ;5.730    ;5.171    ;     ~   ;     ~   ;A/F                  ;  41 ;   0
20  ;HIP 4962                           HD 6130                            ;*  ;01 03 37.0033959120 +61 04 29.361361008;01 03 37.0075322783 +61 04 29.364659483;01 00 31.0862959333 +60 48 24.021051827;124.4047132785255 -01.7620932420642;  -0.761 -2.075     ;1.2096    ;v    -0.9     ;-0.9        ;-0.000003   ;-0.90       ;     ~   ;6.51     ;6.00     ;7.04     ;     ~   ;F0II                 ;  66 ;   0
21  ;HIP 117472                         HD 223421                          ;*  ;23 49 11.9247201288 +58 57 47.524932252;23 49 11.9284015851 +58 57 47.534959671;23 46 43.7449516601 +58 41 07.351248555;114.9716714838510 -02.9432657255980;  32.442 -8.547     ;12.2795   ;v    30.80    ;30.80       ;0.000103    ;30.80       ;     ~   ;6.754    ;6.355    ;     ~   ;     ~   ;F2IV                 ;  50 ;   0
22  ;HIP 107253                         * 79 Cyg                           ;** ;21 43 25.6523360208 +38 17 00.927883932;21 43 25.6544605738 +38 17 00.946584551;21 41 21.4016442090 +38 03 14.325581915;087.1140078010469 -11.1812842467641;  34.385 -4.263     ;11.7145   ;v   -22.8     ;-22.8       ;-0.000076   ;-22.80      ;     ~   ;5.688    ;5.695    ;     ~   ;     ~   ;A0V                  ;  46 ;   1
23  ;HIP 85998                          * f Oph                            ;*  ;17 34 36.6947095224 +09 35 12.106990644;17 34 36.6961095806 +09 35 12.125762648;17 32 14.1357563997 +09 37 08.490286466;032.9507531542030 +21.3850976454955;   2.005 -8.963     ;8.6746    ;v   -13.9     ;-13.9       ;-0.000046   ;-13.90      ;5.82     ;5.83     ;5.81     ;     ~   ;     ~   ;A2V                  ;  55 ;   0
24  ;HIP 10035                          HD 13336                           ;PM*;02 09 09.2923630368 -43 30 59.742871920;02 09 09.2925170909 -43 30 59.745809381;02 07 09.5584594710 -43 45 06.985224666;264.2207871409044 -67.3118651129830;-47.740 -52.006     ;5.9057    ;v   -23.64    ;-23.64      ;-0.000079   ;-23.64      ;     ~   ;7.042    ;5.830    ;     ~   ;     ~   ;K1III                ;  17 ;   0
25  ;HIP 20781                          HD 28454                           ;PM*;04 27 05.9646346440 -46 56 50.969644440;04 27 05.9650045627 -46 56 50.984343250;04 25 37.6731022416 -47 03 15.818825428;253.1790601042031 -43.7128575875038;63.853 -270.620     ;30.6049   ;v    21.84    ;21.84       ;0.000073    ;21.84       ;     ~   ;6.56     ;6.10     ;     ~   ;     ~   ;F5.5V                ;  59 ;   0
26  ;HIP 45328                          HD 79846                           ;V* ;09 14 17.9904977496 -55 34 10.667428428;09 14 17.9928900258 -55 34 10.687418435;09 12 48.9382949366 -55 21 42.620951646;275.5040967622792 -04.7237518478809; -33.266 29.207     ;5.4714    ;v     8.8     ;8.8         ;0.000029    ;8.80        ;     ~   ;6.234    ;5.254    ;     ~   ;     ~   ;G8II/III             ;  27 ;   0
27  ;HIP 73966                          HD 133518                          ;*  ;15 06 55.9713564672 -52 01 47.204898312;15 06 55.9746142515 -52 01 47.196644828;15 03 20.5441353771 -51 50 13.762961692;323.0821572622526 +05.4605919987362; -3.195 -11.760     ;1.6416    ;v    -4.30    ;-4.30       ;-0.000014   ;-4.30       ;5.57     ;6.29     ;6.39     ;     ~   ;     ~   ;B2IVpHe              ;  94 ;   0
28  ;HIP 106999                         * 75 Cyg                           ;** ;21 40 11.1100359936 +43 16 25.815895860;21 40 11.1122591640 +43 16 25.834755354;21 38 13.1682095315 +43 02 46.204976914;090.0041365548992 -07.0413539036477;  60.900 15.491     ;7.3395    ;v   -29.25    ;-29.25      ;-0.000098   ;-29.25      ;     ~   ;6.682    ;5.086    ;     ~   ;     ~   ;M1IIIab              ;  66 ;   0
29  ;HIP 12876                          * zet Hyi                          ;PM*;02 45 32.6343702336 -67 36 59.820350688;02 45 32.6325060760 -67 36 59.826679656;02 44 45.9399760179 -67 49 35.413283973;287.7541132659883 -46.0043875615246;  66.102 43.764     ;11.0516   ;v     3.6     ;3.6         ;0.000012    ;3.60        ;     ~   ;4.886    ;4.820    ;     ~   ;     ~   ;A2IV/V               ;  45 ;   0
30  ;HIP 36284                          * gam CMi                          ;SB*;07 28 09.7942869528 +08 55 31.888128216;07 28 09.7958237455 +08 55 31.866267643;07 25 26.4604736434 +09 01 41.870648371;209.0481982837044 +12.1828739918477; -62.112 11.141     ;3.134     ;v    46.80    ;46.80       ;0.000156    ;46.80       ;7.26     ;5.73     ;4.30     ;3.19     ;2.40     ;K3-IIIFe-0.5         ; 103 ;   0
31  ;HIP 82912                          V* RR Sco                          ;Mi*;16 56 37.8385882488 -30 34 48.211969260;16 56 37.8406738108 -30 34 48.195309349;16 53 26.2516618981 -30 30 07.386977274;352.5922368086598 +07.8161166808006; -11.528 -8.720     ;3.5441    ;v   -36.00    ;-36.00      ;-0.000120   ;-36.00      ;8.46     ;7.64     ;6.10     ;     ~   ;     ~   ;M6+e                 ; 152 ;   0
32  ;HIP 97515                          HD 187098                          ;PM*;19 49 11.6110578024 -28 47 20.293318140;19 49 11.6125463667 -28 47 20.271460917;19 46 04.5365588336 -28 54 49.022896644;011.7457850059370 -24.4615336142963;122.374 -97.951     ;21.4247   ;v   -34.90    ;-34.90      ;-0.000116   ;-34.90      ;     ~   ;6.417    ;6.031    ;     ~   ;     ~   ;F3V                  ;  48 ;   0
33  ;HIP 111879                         HD 214599                          ;PM*;22 39 44.1846716256 -28 19 32.374717392;22 39 44.1856387933 -28 19 32.359342072;22 36 57.4155539755 -28 35 09.800786763;022.8156007518445 -60.9206266654636; 96.415 -40.771     ;9.4621    ;v   -22.59    ;-22.59      ;-0.000075   ;-22.59      ;     ~   ;7.315    ;6.314    ;     ~   ;     ~   ;K0/1III              ;  25 ;   0
34  ;HIP 78933                          * ome Sco                          ;bC*;16 06 48.4269211 -20 40 09.090235      ;16 06 48.4288865 -20 40 09.077027      ;16 03 52.6422032 -20 32 07.090387      ;352.7497163088 +22.7729664780      ;   -8.98 -23.48     ;6.92      ;v    -4.40    ;-4.40       ;-0.000015   ;-4.40       ;3.10     ;3.92     ;3.97     ;3.91     ;3.99     ;B1V                  ; 464 ;   0
35  ;* eta Oph B                                                           ;*  ;17 10 22.636800 -15 43 30.65592        ;17 10 22.638574 -15 43 30.63844        ;17 07 30.545868 -15 39 49.19044        ;006.721089292 +14.007847092        ;            ~ ~     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;3.36     ;3.26     ;     ~   ;     ~   ;A3(V)                ;   7 ;   0
36  ;HIP 86019                          HD 159358                          ;*  ;17 34 46.3515143064 -11 14 31.194437280;17 34 46.3531897968 -11 14 31.175657384;17 31 59.3855941630 -11 12 35.193372489;013.8579889631814 +11.4020047051665;    3.737 3.143     ;8.7799    ;v   -13.00    ;-13.00      ;-0.000043   ;-13.00      ;     ~   ;5.540    ;5.535    ;     ~   ;     ~   ;B9V                  ;  66 ;   0
37  ;HIP 27353                          HD 38524                           ;*  ;05 47 34.6654904064 +25 34 07.033689228;05 47 34.6673412917 +25 34 07.014311451;05 44 29.0243084700 +25 33 06.358773496;183.1043623023969 -01.3763950551874;   2.600 -7.700     ;3.1735    ;v   -18.45    ;-18.45      ;-0.000062   ;-18.45      ;     ~   ;7.660    ;6.473    ;     ~   ;     ~   ;K1III                ;  18 ;   0
38  ;HIP 54522                          V* CO UMa                          ;LP*;11 09 19.0795189080 +36 18 33.766391952;11 09 19.0801922293 +36 18 33.753148616;11 06 34.4026519599 +36 34 51.226416840;183.5644830344118 +66.5148393098718;-44.057 -23.201     ;7.5976    ;v    22.11    ;22.11       ;0.000074    ;22.11       ;8.75     ;7.25     ;5.74     ;     ~   ;     ~   ;M4III                ;  49 ;   1
39  ;HIP 68276                          * 10 Boo                           ;*  ;13 58 38.9229420984 +21 41 46.319545932;13 58 38.9238906385 +21 41 46.321486628;13 56 18.2941701794 +21 56 21.710934247;017.0192105098964 +73.7815370332953; -5.411 -41.794     ;5.926     ;v     6.1     ;6.1         ;0.000020    ;6.10        ;     ~   ;5.743    ;5.748    ;     ~   ;     ~   ;A0Vs                 ;  65 ;   0
40  ;HIP 34999                          HD 55879                           ;*  ;07 14 28.2529558464 -10 18 58.483822572;07 14 28.2544549587 -10 18 58.505586397;07 12 06.0266903839 -10 13 43.531574430;224.7259437868042 +00.3547754487603;   -4.124 1.287     ;1.075     ;v    32.6     ;32.6        ;0.000109    ;32.60       ;4.88     ;5.85     ;6.03     ;7.35     ;     ~   ;O9.7III              ; 165 ;   0
41  ;HIP 92689                          HD 175535                          ;SB*;18 53 13.5509916072 +50 42 29.594035404;18 53 13.5521699280 +50 42 29.615495599;18 51 59.2075991663 +50 38 42.658562452;080.4307027507068 +20.3957930264019; -4.442 -21.985     ;11.1969   ;v     8.50    ;8.50        ;0.000028    ;8.50        ;     ~   ;5.82     ;4.92     ;     ~   ;     ~   ;G7IIIaFe-1           ;  83 ;   0
42  ;HIP 30218                          HD 44234                           ;*  ;06 21 25.9193888928 +17 45 48.471792732;06 21 25.9210693759 +17 45 48.451129937;06 18 30.7798840469 +17 47 17.787594289;193.7633152450993 +01.6311516287052; 18.169 -42.420     ;6.6198    ;v    10.4     ;10.4        ;0.000035    ;10.40       ;8.280    ;7.380    ;6.280    ;     ~   ;     ~   ;G9:III:              ;  25 ;   0
43  ;HIP 103401                         * 7 Aqr                            ;*  ;20 56 54.0265592448 -09 41 51.150476328;20 56 54.0280020764 -09 41 51.129868828;20 54 11.9551549810 -09 53 25.457485566;038.6334162860732 -32.2372589723925; -5.860 -10.920     ;5.0316    ;v   -31.68    ;-31.68      ;-0.000106   ;-31.68      ;     ~   ;6.97     ;5.48     ;     ~   ;     ~   ;K4III                ;  42 ;   0
44  ;Cl Collinder 240                                                      ;OpC;11 11 40.00 -60 18 35.0                ;11 11 40.00 -60 18 35.0                ;11 09 31.25 -60 02 15.8                ;290.87516 +00.20542                ;     -8.60 1.90     ;      ~   ;v    -8.02    ;-8.02       ;-0.000027   ;-8.02       ;     ~   ;4.23     ;3.9      ;     ~   ;     ~   ;~                    ;  26 ;   0
45  ;HIP 97151                          V* V973 Cyg                        ;LP*;19 44 49.0396867488 +40 43 00.495132456;19 44 49.0412491364 +40 43 00.517005554;19 43 07.1347717150 +40 35 42.528415123;074.7728061935444 +08.1492055131724;-69.167 -24.540     ;3.3715    ;v  -102.684   ;-102.684    ;-0.000342   ;-102.67     ;9.90     ;7.99     ;6.37     ;4.78     ;     ~   ;M3.5III              ;  69 ;   0
46  ;HIP 21281                          * alf Dor                          ;a2*;04 33 59.77719 -55 02 41.9243          ;04 33 59.77721 -55 02 41.9394          ;04 32 54.73434 -55 08 52.2183          ;263.83255744 -41.41538337          ;    57.75 10.93     ;19.34     ;v    25.60    ;25.60       ;0.000085    ;25.60       ;2.83     ;3.18     ;3.28     ;3.29     ;3.38     ;B8IIIpSi             ; 144 ;   0
47  ;HIP 41723                          HD 72227                           ;V* ;08 30 28.6109192232 -32 09 33.418716480;08 30 28.6126529221 -32 09 33.440033709;08 28 28.2069533224 -31 59 25.168352848;252.5065337121106 +04.1772377010709;  -13.119 1.914     ;3.0023    ;v    19.98    ;19.98       ;0.000067    ;19.98       ;     ~   ;7.105    ;5.588    ;     ~   ;     ~   ;K3III                ;  19 ;   0
48  ;HIP 10296                          HD 13522                           ;*  ;02 12 37.5398224584 +24 10 04.010957292;02 12 37.5419964183 +24 10 04.007691794;02 09 47.4783787136 +23 56 01.911619294;145.6864307369217 -35.0911401864725;  43.114 -5.029     ;5.7748    ;v    -2.22    ;-2.22       ;-0.000007   ;-2.22       ;     ~   ;7.340    ;5.950    ;     ~   ;     ~   ;K0                   ;  16 ;   0
49  ;HIP 88899                          * 101 Her                          ;*  ;18 08 52.8638629248 +20 02 42.838723104;18 08 52.8651871594 +20 02 42.858960711;18 06 43.4079488243 +20 02 09.739641699;046.6845457200867 +18.0986072151201;  9.056 -20.830     ;9.5493    ;v   -16.3     ;-16.3       ;-0.000054   ;-16.30      ;     ~   ;5.259    ;5.099    ;     ~   ;     ~   ;A8III                ;  48 ;   0
50  ;HIP 116323                         * 14 Psc                           ;PM*;23 34 09.0149355936 -01 14 51.220689108;23 34 09.0164350394 -01 14 51.209407152;23 31 34.7010430754 -01 31 25.796592934;084.0905912952897 -58.1668597891190;107.013 -13.851     ;14.5356   ;v    -2.8     ;-2.8        ;-0.000009   ;-2.80       ;     ~   ;6.193    ;5.870    ;     ~   ;     ~   ;A2II                 ;  70 ;   0
