C.D.S.  -  SIMBAD4 rel 1.8  -  2023.04.08CEST13:52:47

Vmag <= 6.5
-----------

Number of objects : 9071

 #  ;                              identifier                              ;typ;       coord1 (ICRS,J2000/2000)        ;        coord2 (FK5,J2000/2000)        ;        coord3 (FK4,B1950/1950)        ;      coord4 (Gal,J2000/2000)      ;         pm         ;   plx    ;     rv/z     ;   radvel   ;  redshift  ;     cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag I  ;     spec. type      ;#bib ;#not
1498;HIP 117541                         HD 223524                          ;PM*;23 50 14.7296609856 -09 58 26.893348608;23 50 14.7309590935 -09 58 26.883410122;23 47 39.9252548782 -10 15 11.967827062;079.9699627795394 -67.5864359862472; 137.428 78.013     ;10.312    ;v   -16.631599;-16.631599  ;-0.000055   ;-16.63      ;     ~   ;7.069    ;5.936    ;     ~   ;     ~   ;K1III                ;  55 ;   0
1499;HIP 100412                         HD 193307                          ;PM*;20 21 41.0365243245 -49 59 57.900101995;20 21 41.0377238293 -49 59 57.878611000;20 18 03.6734198703 -50 09 19.945841063;349.1286672767910 -34.6661546901726;-357.855 -250.604   ;32.0320   ;v    18.31    ;18.31       ;0.000061    ;18.31       ;     ~   ;6.82     ;6.28     ;     ~   ;     ~   ;F9V                  ; 125 ;   0
1500;HIP 38031                          V* QY Pup                          ;s*r;07 47 38.5262364936 -15 59 26.481207696;07 47 38.5277802038 -15 59 26.503071459;07 45 21.8440777578 -15 51 57.510196842;233.5899193650845 +04.7093520727171;   -2.017 3.596     ;0.3197    ;v    48.78    ;48.78       ;0.000163    ;48.78       ;     ~   ;8.095    ;6.309    ;     ~   ;     ~   ;K1Ia-Iab             ;  91 ;   0
1501;M 2                                                                   ;GlC;21 33 27.02 -00 49 23.7                ;21 33 27.02 -00 49 23.7                ;21 30 52.58 -01 02 44.5                ;053.37088 -35.76976                ;     3.51 -2.16     ;0.082     ;v    -3.6     ;-3.6        ;-0.000012   ;-3.60       ;     ~   ;     ~   ;6.25     ;     ~   ;     ~   ;~                    ; 992 ;   1
1502;HIP 89096                          HD 166006                          ;*  ;18 11 04.4047557840 -47 30 47.237056056;18 11 04.4068740841 -47 30 47.216739766;18 07 17.7216807364 -47 31 25.830630874;346.0454861734285 -13.3519978686446; -3.117 -30.438     ;5.5829    ;v   -16.51    ;-16.51      ;-0.000055   ;-16.51      ;     ~   ;7.268    ;6.069    ;     ~   ;     ~   ;K1IIICNII            ;  17 ;   0
1503;HIP 70320                          HD 125809                          ;*  ;14 23 15.3527542872 -47 25 01.065284472;14 23 15.3558378798 -47 25 01.061019258;14 19 59.6572640444 -47 11 23.682760098;318.6229158557469 +12.6380437053584;  -6.629 -5.223     ;1.2213    ;v   -17.71    ;-17.71      ;-0.000059   ;-17.71      ;     ~   ;7.66     ;6.39     ;     ~   ;     ~   ;G5/6Ib               ;  31 ;   0
1504;HIP 102066                         * 49 Cyg                           ;** ;20 41 02.5422151056 +32 18 26.238680208;20 41 02.5439911866 +32 18 26.259747168;20 39 00.9993562481 +32 07 42.539854502;073.9642112615801 -05.8817644591537;  3.150 -11.184     ;3.6839    ;v   -25.84    ;-25.84      ;-0.000086   ;-25.84      ;     ~   ;6.672    ;5.638    ;     ~   ;     ~   ;G8IIb                ;  81 ;   0
1505;HIP 69881                          HD 125184                          ;PM*;14 18 00.7266638905 -07 32 32.612570668;14 18 00.7283808166 -07 32 32.608797591;14 15 21.1709493944 -07 18 31.501606867;337.1832377516926 +49.4845785584141;267.128 -236.757    ;30.3492   ;v   -12.357   ;-12.357     ;-0.000041   ;-12.36      ;     ~   ;7.20     ;6.50     ;     ~   ;     ~   ;G5/6V                ; 165 ;   0
1506;HIP 71658                          HD 128617                          ;PM*;14 39 24.4728205320 -49 03 19.155877344;14 39 24.4759692048 -49 03 19.150111389;14 36 02.9340661166 -48 50 18.618046542;320.5165508410304 +10.0948161471991;-189.929 -124.411   ;17.1392   ;v   -21.41    ;-21.41      ;-0.000071   ;-21.41      ;     ~   ;6.83     ;6.39     ;     ~   ;     ~   ;F5IV/V               ;  43 ;   0
1507;HIP 82426                          HD 152224                          ;PM*;16 50 43.1495843544 +32 33 13.205093472;16 50 43.1504891534 +32 33 13.221381949;16 48 50.0074697533 +32 38 13.199402725;054.3407111463677 +38.4971461436279;  23.342 44.598     ;10.7428   ;v   -23.314   ;-23.314     ;-0.000078   ;-23.31      ;     ~   ;7.182    ;6.158    ;     ~   ;     ~   ;K0III                ;  42 ;   0
1508;HIP 115990                         V* AR Cas                          ;EB*;23 30 01.9406369832 +58 32 56.112185112;23 30 01.9441848827 +58 32 56.123802111;23 27 42.7673245638 +58 16 23.130411989;112.4657416208241 -02.6588398213813;   17.957 4.441     ;4.8857    ;v   -15.9     ;-15.9       ;-0.000053   ;-15.90      ;4.18     ;4.760    ;4.886    ;     ~   ;     ~   ;B3V                  ; 212 ;   1
1509;HIP 109972                         HD 211554                          ;*  ;22 16 26.5631295408 +57 13 12.857307492;22 16 26.5660982779 +57 13 12.874183225;22 14 37.9466741379 +56 58 12.899684732;103.1230965051869 +00.4342295058452;   47.092 5.013     ;5.2856    ;v    -7.96    ;-7.96       ;-0.000027   ;-7.96       ;     ~   ;6.832    ;5.882    ;     ~   ;     ~   ;G8III                ;  40 ;   0
1510;HIP 85207                          HD 157527                          ;*  ;17 24 42.0283098840 -21 26 29.338040616;17 24 42.0301519198 -21 26 29.319772270;17 21 42.4307322242 -21 23 47.819802899;003.7940805031169 +08.0131491327215;-16.150 -25.195     ;9.7042    ;v   -52.4809  ;-52.4809    ;-0.000175   ;-52.48      ;     ~   ;6.773    ;5.830    ;     ~   ;     ~   ;K0III                ;  42 ;   1
1511;HIP 49712                          * Q Vel                            ;*  ;10 08 56.2395143 -51 48 40.538708      ;10 08 56.2421741 -51 48 40.556031      ;10 07 02.2926835 -51 33 55.469190      ;279.1499351975 +03.3956028589      ;    -14.96 0.48     ;2.45      ;v    14.00    ;14.00       ;0.000047    ;14.00       ;3.99     ;4.711    ;4.845    ;     ~   ;     ~   ;B3III/IV             ;  47 ;   0
1512;HIP 35548                          HD 57049                           ;*  ;07 20 06.8419166232 +15 08 34.542893544;07 20 06.8434745767 +15 08 34.521080412;07 17 16.0125918982 +15 14 12.790084409;202.4287312134227 +13.0809147608471;  3.228 -18.054     ;3.4696    ;v    25.189800;25.189800   ;0.000084    ;25.19       ;     ~   ;6.449    ;6.442    ;     ~   ;     ~   ;A2Vn                 ;  29 ;   0
1513;HD 165259A                                                            ;PM*;18 12 34.0835848200 -73 40 20.769124296;18 12 34.0869310858 -73 40 20.748755429;18 06 13.3966031928 -73 40 49.107159216;320.4900792089433 -23.2885960577416;-91.400 -254.341    ;23.6778   ;v    13.97    ;13.97       ;0.000047    ;13.97       ;     ~   ;6.36     ;5.91     ;     ~   ;     ~   ;~                    ;   3 ;   0
1514;HIP 85826                          HD 159082                          ;SB*;17 32 14.8801753080 +11 55 48.177391296;17 32 14.8815408774 +11 55 48.196046342;17 29 55.1181083194 +11 57 53.413404979;034.9769634584235 +22.9037846351019;   1.985 17.076     ;6.7614    ;v   -11.8     ;-11.8       ;-0.000039   ;-11.80      ;6.260    ;6.440    ;6.450    ;     ~   ;     ~   ;B9.5V                ;  89 ;   0
1515;HIP 21517                          V* SZ Tau                          ;cC*;04 37 14.7776556504 +18 32 34.926940860;04 37 14.7795299033 +18 32 34.911539003;04 34 20.1984526053 +18 26 35.174617928;179.4850138724821 -18.7411621062815;  -4.403 -5.232     ;1.5741    ;v    -1.20    ;-1.20       ;-0.000004   ;-1.20       ;7.65     ;7.13     ;6.37     ;     ~   ;     ~   ;F6.7:Ib              ; 300 ;   0
1516;HIP 70638                          * del Oct                          ;PM*;14 26 55.2324425 -83 40 04.386830      ;14 26 55.2468205 -83 40 04.382222      ;14 18 39.1338986 -83 26 29.455413      ;305.6779064025 -21.3116247492      ;  -96.12 -13.27     ;10.91     ;v     4.60    ;4.60        ;0.000015    ;4.60        ;     ~   ;5.615    ;4.304    ;     ~   ;     ~   ;K2III                ;  42 ;   0
1517;HIP 117265                         HD 223128                          ;*  ;23 46 36.7365639936 +66 46 56.081325468;23 46 36.7410955174 +66 46 56.091571739;23 44 12.7400191889 +66 30 16.298122005;116.5934838782447 +04.7115991180490;   8.009 -2.936     ;2.5336    ;v    20.773300;20.773300   ;0.000069    ;20.77       ;5.15     ;5.883    ;5.937    ;     ~   ;     ~   ;B2IV                 ;  69 ;   0
1518;HIP 115908                         V* CG Tuc                          ;a2*;23 29 00.9815552856 -63 06 38.359594512;23 29 00.9806508606 -63 06 38.347895419;23 26 08.2210859461 -63 23 10.232391812;317.7717835012737 -51.5772937520201; 39.409 -13.258     ;8.4057    ;v    15.3     ;15.3        ;0.000051    ;15.30       ;     ~   ;5.51     ;5.68     ;     ~   ;     ~   ;ApSi                 ;  94 ;   0
1519;HIP 3881                           * nu. And                          ;SB*;00 49 48.8473652 +41 04 44.076380      ;00 49 48.8501352 +41 04 44.080974      ;00 47 02.8308383 +40 48 25.233408      ;122.6023706583 -21.7917984459      ;   22.77 -18.35     ;5.28      ;v   -23.9     ;-23.9       ;-0.000080   ;-23.90      ;3.80     ;4.38     ;4.53     ;4.56     ;4.71     ;B5V                  ; 214 ;   0
1520;HIP 37530                          HD 62758                           ;*  ;07 42 10.2169872336 -58 37 51.309799104;07 42 10.2185543493 -58 37 51.331677933;07 41 15.2835719037 -58 30 41.340338916;270.9094005791051 -16.7152829749274;   -5.342 8.372     ;2.658     ;v    11.00    ;11.00       ;0.000037    ;11.00       ;     ~   ;6.288    ;6.389    ;     ~   ;     ~   ;B3V                  ;  38 ;   0
1521;HIP 47070                          HD 83104                           ;*  ;09 35 33.8001881664 -19 35 00.227030820;09 35 33.8019689451 -19 35 00.246110248;09 33 14.1724721447 -19 21 31.836011820;252.1650845250777 +23.4294725392339;-26.791 -32.899     ;10.9433   ;v    18.70    ;18.70       ;0.000062    ;18.70       ;     ~   ;6.37     ;6.31     ;     ~   ;     ~   ;A0V                  ;  30 ;   0
1522;HIP 9094                           HD 11964                           ;PM*;01 57 09.6074243168 -10 14 32.732533622;01 57 09.6086882816 -10 14 32.734332710;01 54 43.0183507618 -10 28 57.408095162;168.5776368029580 -67.0904369127130;-366.997 -242.386   ;29.7928   ;v    -9.334   ;-9.334      ;-0.000031   ;-9.33       ;     ~   ;7.25     ;6.42     ;     ~   ;     ~   ;G9VCN+1              ; 176 ;   1
1523;HIP 79490                          * 39 Nor                           ;LP?;16 13 16.9692313968 -53 40 16.227579324;16 13 16.9723052836 -53 40 16.213883865;16 09 22.5518515534 -53 32 38.198346795;330.1320260722840 -01.8171427356143;  -4.057 -4.639     ;1.2918    ;v   -11.30    ;-11.30      ;-0.000038   ;-11.30      ;     ~   ;7.863    ;5.944    ;     ~   ;     ~   ;M0III                ;  31 ;   0
1524;HIP 30932                          * 61 Pic                           ;V* ;06 29 28.4981358720 -56 51 09.960678828;06 29 28.4990018023 -56 51 09.981581597;06 28 36.4455729544 -56 49 04.957858954;265.8942688209800 -25.3625558888759; -39.146 32.260     ;10.2438   ;v    12.9     ;12.9        ;0.000043    ;12.90       ;     ~   ;6.283    ;5.197    ;     ~   ;     ~   ;K0III                ;  26 ;   0
1525;HIP 108924                         * 18 Cep                           ;LP?;22 03 52.9770442632 +63 07 11.715055428;22 03 52.9802786150 +63 07 11.732668810;22 02 22.9186694599 +62 52 34.285596705;105.2564131470939 +06.1518555230466;  37.041 58.292     ;7.5328    ;v    -5.30    ;-5.30       ;-0.000018   ;-5.30       ;     ~   ;6.767    ;5.300    ;     ~   ;     ~   ;M5III                ;  54 ;   0
1526;HIP 84431                          HD 156284                          ;*  ;17 15 41.4703516656 +23 44 33.931735044;17 15 41.4715043378 +23 44 33.949515894;17 13 36.6785920625 +23 47 49.885371191;045.6610025538968 +30.9388745504131; -37.546 20.117     ;5.5623    ;v   -43.73    ;-43.73      ;-0.000146   ;-43.73      ;     ~   ;7.320    ;5.975    ;     ~   ;     ~   ;K2III                ;  31 ;   0
1527;HIP 25751                          HD 36166                           ;V* ;05 29 54.7742113464 +01 47 21.333288804;05 29 54.7757622265 +01 47 21.314751255;05 27 18.9838752846 +01 45 04.511395521;201.6733589970972 -17.1913310359297;   2.122 -0.953     ;2.8861    ;v    11.70    ;11.70       ;0.000039    ;11.70       ;4.74     ;5.562    ;5.745    ;     ~   ;     ~   ;B2V                  ; 120 ;   0
1528;GEN# +9.04007220                                                      ;*  ;No Coord.                              ;No Coord.                              ;No Coord.                              ;No Coord.                          ;            ~ ~     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;6.16     ;6.30     ;     ~   ;     ~   ;~                    ;   0 ;   0
1529;HIP 48734                          * 10 Sex                           ;PM*;09 56 25.97587 +08 55 59.3608          ;09 56 25.97727 +08 55 59.3428          ;09 53 47.00308 +09 10 15.3823          ;228.25523749 +44.90149047          ;   -85.54 19.77     ;5.63      ;v     7.64    ;7.64        ;0.000025    ;7.64        ;     ~   ;6.985    ;5.848    ;     ~   ;     ~   ;K2III:               ;  29 ;   0
1530;HIP 14566                          HD 19268                           ;*  ;03 08 03.8524753032 +52 12 48.632538456;03 08 03.8557410553 +52 12 48.624185032;03 04 27.6235684018 +52 01 20.885111750;143.1409293359153 -05.2146456074737; 23.028 -22.841     ;5.3715    ;v    21.058901;21.058901   ;0.000070    ;21.06       ;     ~   ;6.30     ;6.30     ;     ~   ;     ~   ;B5V                  ;  56 ;   0
1531;HIP 15890                          V* CQ Cam                          ;LP*;03 24 40.5567179496 +64 35 09.579866928;03 24 40.5609900415 +64 35 09.570070783;03 20 18.5884599555 +64 24 33.949060361;138.4609784236293 +06.4396939243473;  -3.734 -0.171     ;1.6385    ;v   -22.20    ;-22.20      ;-0.000074   ;-22.20      ;9.53     ;7.24     ;5.19     ;3.61     ;2.38     ;M0II                 ;  83 ;   0
1532;HIP 85049                          HD 156768                          ;*  ;17 22 55.2214013433 -58 00 37.178929093;17 22 55.2242287241 -58 00 37.160754855;17 18 36.1495592239 -57 57 45.528879398;333.0536211114396 -12.0714501569445; -5.959 -15.651     ;3.1386    ;v    -9.42    ;-9.42       ;-0.000031   ;-9.42       ;     ~   ;7.02     ;5.87     ;     ~   ;     ~   ;G8Ib/II              ;  22 ;   0
1533;HIP 6631                           HD 8810                            ;*  ;01 25 05.3065787016 -64 22 10.113833640;01 25 05.3050698296 -64 22 10.112573316;01 23 21.7043073838 -64 37 44.954893825;296.9827204635992 -52.3683403513329; 23.002 -16.326     ;3.4638    ;v    20.46    ;20.46       ;0.000068    ;20.46       ;     ~   ;7.449    ;5.900    ;     ~   ;     ~   ;K5III                ;  35 ;   0
1534;HIP 50801                          * mu. UMa                          ;SB*;10 22 19.7397659 +41 29 58.269105      ;10 22 19.7404457 +41 29 58.252593      ;10 19 21.4659242 +41 45 06.196714      ;177.9032090460 +56.3603105864      ;   -81.47 35.34     ;14.16     ;v   -21.30    ;-21.30      ;-0.000071   ;-21.30      ;6.53     ;4.64     ;3.05     ;1.76     ;0.80     ;M0III                ; 307 ;   0
1535;HIP 67778                          HD 121197                          ;*  ;13 53 08.4363187176 +40 20 16.708668360;13 53 08.4366091690 +40 20 16.710084714;13 51 01.4786838357 +40 35 01.820459463;082.8632600673907 +71.6411102474214; -8.742 -11.422     ;3.1117    ;v    -5.99    ;-5.99       ;-0.000020   ;-5.99       ;     ~   ;8.068    ;6.479    ;     ~   ;     ~   ;K5                   ;  17 ;   0
1536;HIP 48119                          HD 85250                           ;PM*;09 48 39.9983360664 -56 24 42.806134512;09 48 40.0010459907 -56 24 42.824570522;09 47 01.2311027843 -56 10 43.165000298;279.5947064693322 -02.0594489644385; -57.838 14.613     ;9.8068    ;v     7.20    ;7.20        ;0.000024    ;7.20        ;     ~   ;6.993    ;6.047    ;     ~   ;     ~   ;K0III                ;  25 ;   0
1537;HIP 5170                           HD 6559                            ;PM*;01 06 07.7141953080 -23 59 32.943888024;01 06 07.7150790905 -23 59 32.940826826;01 03 42.4789527475 -24 15 33.621693804;170.3143296407078 -85.4387303042966;-43.453 -36.079     ;9.3694    ;v    30.82    ;30.82       ;0.000103    ;30.82       ;     ~   ;7.180    ;6.114    ;     ~   ;     ~   ;K1III                ;  45 ;   0
1538;HIP 41426                          HD 71805                           ;** ;08 26 57.7453341 -52 42 17.814048      ;08 26 57.7472644 -52 42 17.835438      ;08 25 34.7676034 -52 32 18.380948      ;268.8819232540 -08.3043959686      ;  -91.43 -44.38     ;18.50     ;v     5.50    ;5.50        ;0.000018    ;5.50        ;     ~   ;6.909    ;6.49     ;     ~   ;     ~   ;F5V                  ;  46 ;   0
1539;* alf Com B                                                           ;PM*;13 09 59.288719 +17 31 46.24482        ;13 09 59.289788 +17 31 46.24212        ;13 07 33.319696 +17 47 36.67926        ;327.933649313 +79.489430723        ;   -430.1 137.8     ;      ~   ;~            ~;~           ;~           ;~           ;     ~   ;5.92     ;5.48     ;     ~   ;     ~   ;F6V                  ;  93 ;   0
1540;HIP 103891                         HD 200430                          ;V* ;21 03 01.7947904328 +14 43 48.096654600;21 03 01.7964556889 +14 43 48.117057945;21 00 40.1626324853 +14 31 53.492775337;062.7721069919572 -20.5830783362432;   25.501 4.858     ;3.0805    ;v   -41.28    ;-41.28      ;-0.000138   ;-41.28      ;     ~   ;7.980    ;6.329    ;     ~   ;     ~   ;M1III                ;  35 ;   0
1541;HIP 29996                          HD 43993                           ;*  ;06 18 50.5825087872 -09 23 24.065629152;06 18 50.5839534860 -09 23 24.086209274;06 16 27.8373761809 -09 22 05.865020634;217.6986027310717 -11.4700019103612;  3.740 -22.613     ;6.6189    ;v     7.1     ;7.1         ;0.000024    ;7.10        ;     ~   ;6.590    ;5.352    ;     ~   ;     ~   ;K1.5III              ;  30 ;   0
1542;HIP 116728                         HD 222387                          ;SB*;23 39 21.1373683176 +74 00 09.639206568;23 39 21.1433132863 +74 00 09.650060076;23 37 09.3627097767 +73 43 32.740611724;117.9344239945527 +11.8344494512992;-10.247 -10.766     ;10.0525   ;v    11.90    ;11.90       ;0.000040    ;11.90       ;     ~   ;6.867    ;5.973    ;     ~   ;     ~   ;G8III                ;  23 ;   0
1543;HIP 77512                          * del CrB                          ;RS*;15 49 35.6469970632 +26 04 06.214310112;15 49 35.6479240171 +26 04 06.226171630;15 47 29.7116695138 +26 13 13.202034300;041.8752722927045 +50.3723037535003;-78.907 -64.894     ;19.4965   ;v   -20.36    ;-20.36      ;-0.000068   ;-20.36      ;5.80     ;5.43     ;4.63     ;4.00     ;3.58     ;G5III-IVFe-1         ; 201 ;   0
1544;HIP 91751                          HD 172831                          ;SB*;18 42 36.1201914432 -07 04 25.154710824;18 42 36.1217616683 -07 04 25.133471804;18 39 54.1792554992 -07 07 24.152514400;025.6315776346009 -01.2668710874765;  -8.122 -8.876     ;12.9093   ;v    29.10    ;29.10       ;0.000097    ;29.10       ;     ~   ;7.147    ;6.125    ;     ~   ;     ~   ;K1III                ;  36 ;   0
1545;HIP 21881                          * tau Tau                          ;SB*;04 42 14.6992451952 +22 57 24.850133388;04 42 14.7012012094 +22 57 24.834396201;04 39 14.3836059267 +22 51 45.986405618;176.6445551848683 -15.0717763908048;  3.181 -17.028     ;8.231     ;v    14.6     ;14.6        ;0.000049    ;14.60       ;     ~   ;4.138    ;4.258    ;     ~   ;     ~   ;B3V                  ; 191 ;   0
1546;HIP 45290                          * 36 Lyn                           ;Ro*;09 13 48.2131781112 +43 13 04.193952924;09 13 48.2141499325 +43 13 04.173943689;09 10 32.4882246621 +43 25 30.949588597;177.8614297106615 +43.6081275583318;-30.236 -32.032     ;5.2687    ;v    21.30    ;21.30       ;0.000071    ;21.30       ;4.72     ;5.148    ;5.282    ;     ~   ;     ~   ;~                    ; 211 ;   0
1547;HIP 65721                          * 70 Vir                           ;PM*;13 28 25.8085908881 +13 46 43.638308807;13 28 25.8097601439 +13 46 43.637367137;13 25 59.0039399425 +14 02 42.890156384;337.6653774308533 +74.1006841031090;-235.951 -575.969   ;55.2511   ;v     5.017   ;5.017       ;0.000017    ;5.02        ;5.930    ;5.680    ;4.970    ;4.37     ;3.98     ;G4Va                 ; 704 ;   1
1548;HIP 49688                          HD 86321                           ;*  ;10 08 34.3226380632 +83 55 06.192643548;10 08 34.3158165583 +83 55 06.175299486;10 00 51.9780662888 +84 09 43.951007682;127.5890871914193 +31.6604456426395;    5.187 2.653     ;2.8485    ;v   -12.0     ;-12.0       ;-0.000040   ;-12.00      ;9.460    ;7.850    ;6.310    ;     ~   ;     ~   ;K0                   ;  23 ;   0
1549;HIP 113561                         V* V509 Cas                        ;LP*;23 00 05.1012218544 +56 56 43.350876312;23 00 05.1044769354 +56 56 43.364810475;22 57 58.2006470050 +56 40 36.713421882;108.1589549466878 -02.6979645839584;  -3.013 -2.213     ;0.2507    ;v   -50.20    ;-50.20      ;-0.000167   ;-50.20      ;8.01     ;6.68     ;5.13     ;3.96     ;3.11     ;G4_0                 ; 326 ;   0
1550;HIP 17595                          HD 23526                           ;PM*;03 46 09.3636693576 +06 48 12.688793676;03 46 09.3653436765 +06 48 12.677209329;03 43 29.0739028868 +06 38 57.881519136;180.6699054157040 -35.8101319656708; -0.692 -53.694     ;8.7323    ;v   -22.99    ;-22.99      ;-0.000077   ;-22.99      ;     ~   ;6.896    ;5.922    ;     ~   ;     ~   ;G9III                ;  33 ;   0
1551;HIP 59647                          HD 106248                          ;*  ;12 13 56.4629107152 -78 34 26.171529348;12 13 56.4711718419 -78 34 26.179402753;12 11 04.9817654819 -78 17 44.056534692;301.0097799355531 -15.8423706288866; -4.318 -20.594     ;9.1183    ;v    34.90    ;34.90       ;0.000116    ;34.90       ;     ~   ;7.593    ;6.337    ;     ~   ;     ~   ;K2/3IIICNII          ;  22 ;   0
1552;HIP 73118                          HD 131491                          ;** ;14 56 38.3389085 -62 21 51.900928      ;14 56 38.3430602 -62 21 51.893593      ;14 52 36.8901511 -62 09 46.330067      ;316.8949519555 -02.9364619429      ;    -7.92 -3.89     ;1.78      ;v    -2.60    ;-2.60       ;-0.000009   ;-2.60       ;     ~   ;6.331    ;6.391    ;     ~   ;     ~   ;B4III                ;  23 ;   1
1553;HIP 62732                          HD 111613                          ;sg*;12 51 17.9760267672 -60 19 47.240368104;12 51 17.9800604216 -60 19 47.244823834;12 48 19.0989157905 -60 03 28.232041221;302.9147921531767 +02.5419539925118;  -4.634 -0.939     ;0.4534    ;v   -21.90    ;-21.90      ;-0.000073   ;-21.90      ;6.00     ;6.10     ;5.72     ;5.32     ;5.03     ;B9.5Iab              ; 117 ;   0
1554;HIP 27639                          * ups Aur                          ;PM*;05 51 02.4372885624 +37 18 20.050901892;05 51 02.4393166320 +37 18 20.031372747;05 47 37.7081628063 +37 17 35.708694257;173.3955562418645 +05.2758354769565; 36.426 -45.606     ;5.7358    ;v    37.67    ;37.67       ;0.000126    ;37.67       ;8.29     ;6.36     ;4.74     ;3.38     ;2.31     ;M0III                ;  75 ;   0
1555;* phi02 Cnc A                                                         ;*  ;08 26 47.0709588168 +26 56 07.758788388;08 26 47.0723298284 +26 56 07.737394354;08 23 45.9103808302 +27 06 01.203902960;196.6056320657479 +31.8169958397335;   -7.487 1.202     ;9.4528    ;~            ~;~           ;~           ;~           ;     ~   ;6.34     ;6.13     ;     ~   ;     ~   ;A5IV                 ;  42 ;   0
1556;HIP 38307                          HD 63894                           ;*  ;07 50 55.2408417192 -11 07 42.929924088;07 50 55.2423841855 -11 07 42.951772852;07 48 33.0981907571 -10 59 59.464837311;229.7475240172871 +07.8222411157635;  0.619 -34.546     ;7.4981    ;v    46.19    ;46.19       ;0.000154    ;46.19       ;     ~   ;7.291    ;6.158    ;     ~   ;     ~   ;K0/1III              ;  20 ;   0
1557;HIP 67153                          * i Cen                            ;SB*;13 45 41.2439386102 -33 02 37.381099823;13 45 41.2464137206 -33 02 37.380394216;13 42 50.3083525380 -32 47 29.606939879;315.8526274150382 +28.4632748665629;-462.182 -146.513   ;51.9074   ;v   -21.50    ;-21.50      ;-0.000072   ;-21.50      ;4.61     ;4.61     ;4.23     ;3.90     ;3.69     ;F2V                  ; 162 ;   0
1558;HIP 35975                          HD 58439                           ;*  ;07 24 50.8826959368 -19 00 44.219184732;07 24 50.8841931261 -19 00 44.241029029;07 22 38.5982713266 -18 54 46.230232382;233.5831708976868 -01.5079731750083;   -2.359 2.425     ;0.3167    ;v    70.00    ;70.00       ;0.000234    ;70.01       ;6.57     ;6.526    ;6.272    ;7.22     ;     ~   ;A2Ib/II              ;  40 ;   1
1559;HIP 20156                          HD 27084                           ;PM*;04 19 13.2132944256 +50 02 55.350197772;04 19 13.2161506567 +50 02 55.336064829;04 15 27.4205198307 +49 55 44.317467920;153.3055270468095 -00.1559149161159; 61.124 -58.952     ;12.5943   ;v   -16.5     ;-16.5       ;-0.000055   ;-16.50      ;     ~   ;5.67     ;5.40     ;     ~   ;5.23     ;A7IV                 ;  56 ;   0
1560;HIP 107637                         HD 207446                          ;*  ;21 48 08.3942224248 +36 34 49.398272472;21 48 08.3963301634 +36 34 49.416735523;21 46 01.7719538803 +36 20 51.451098926;086.6846597243986 -13.0785653959308; -23.646 -5.941     ;5.2495    ;v   -31.45    ;-31.45      ;-0.000105   ;-31.45      ;9.730    ;7.820    ;6.260    ;     ~   ;     ~   ;K5                   ;  12 ;   0
1561;HIP 32761                          V* V415 Car                        ;EB*;06 49 51.3141446 -53 37 20.818154      ;06 49 51.3152558 -53 37 20.839549      ;06 48 46.1210097 -53 33 47.738541      ;263.2439680872 -21.7630963514      ;    -1.99 17.58     ;5.99      ;v    26.0     ;26.0        ;0.000087    ;26.00       ;     ~   ;5.323    ;4.408    ;     ~   ;     ~   ;G4II                 ;  76 ;   0
1562;HIP 93015                          * kap Pav                          ;WV*;18 56 57.0289935240 -67 14 00.581211276;18 56 57.0311438815 -67 14 00.559684433;18 51 48.2792441822 -67 17 56.971005853;328.2865039764941 -25.3876944075734;  -8.186 16.042     ;5.2451    ;v    37.80    ;37.80       ;0.000126    ;37.80       ;     ~   ;5.08     ;4.40     ;     ~   ;     ~   ;G5Iab/b              ; 129 ;   0
1563;HIP 77900                          HD 142250                          ;*  ;15 54 30.1089445104 -27 20 19.085902512;15 54 30.1110960476 -27 20 19.073649981;15 51 27.1008627927 -27 11 30.244510098;345.5677314595619 +20.0044797562217;-13.181 -25.183     ;6.7131    ;v    -1.30    ;-1.30       ;-0.000004   ;-1.30       ;     ~   ;6.07     ;6.10     ;     ~   ;     ~   ;B7V                  ; 109 ;   0
1564;HIP 28574                          * 3 Mon                            ;*  ;06 01 50.4219224448 -10 35 52.551122496;06 01 50.4233375965 -10 35 52.571094929;05 59 29.2084160000 -10 35 49.909426624;216.9504115787979 -15.7657730502475;   -6.278 4.016     ;3.4868    ;v    39.00    ;39.00       ;0.000130    ;39.00       ;4.24     ;4.88     ;5.01     ;     ~   ;     ~   ;B5III/V              ;  60 ;   0
1565;HIP 17448                          * omi Per                          ;** ;03 44 19.13204 +32 17 17.6929          ;03 44 19.13436 +32 17 17.6814          ;03 41 10.59245 +32 07 53.3179          ;160.36367582 -17.73984824          ;    8.18 -10.43     ;2.91      ;v    12.20    ;12.20       ;0.000041    ;12.20       ;3.13     ;3.88     ;3.83     ;3.71     ;3.71     ;B1III                ; 594 ;   0
1566;HIP 101997                         HD 196761                          ;PM*;20 40 11.7551137131 -23 46 25.918619793;20 40 11.7564689195 -23 46 25.897531125;20 37 13.3969718689 -23 57 28.913032672;021.2637291075833 -33.7781179482365;499.697 461.374     ;68.1557   ;v   -41.949   ;-41.949     ;-0.000140   ;-41.95      ;     ~   ;7.09     ;6.37     ;     ~   ;     ~   ;G7.5IV-V             ; 190 ;   0
